Term,TF,IDF,TF-IDF
абу,0.00056,1.0,0.00056
абхазия,0.00056,0.958607,0.000537
авария,0.001681,1.154902,0.001941
август,0.013445,0.173925,0.002338
авиакатастрофа,0.00112,1.221849,0.001369
авиаудар,0.00056,1.39794,0.000783
автодром,0.00056,2.0,0.00112
автопортрет,0.00056,2.0,0.00112
авторство,0.00056,0.040959,2.3e-05
адронный,0.00056,2.0,0.00112
акт,0.00056,0.769551,0.000431
акция,0.00056,0.744727,0.000417
алексей,0.00112,0.585027,0.000655
аль,0.00056,0.823909,0.000462
амазонка,0.00056,1.69897,0.000952
америка,0.00056,0.49485,0.000277
ампеццо,0.00056,2.0,0.00112
англ,0.005042,0.200659,0.001012
английский,0.00056,0.408935,0.000229
анджелес,0.00056,1.09691,0.000615
аннексия,0.00056,0.886057,0.000496
анонсировать,0.00056,1.0,0.00056
антирасистский,0.00056,1.69897,0.000952
апофис,0.00056,2.0,0.00112
апрель,0.007843,0.136677,0.001072
арабский,0.00056,0.638272,0.000358
арест,0.00112,0.886057,0.000993
армения,0.00056,0.79588,0.000446
архив,0.00056,0.443697,0.000249
архивировать,0.015686,0.124939,0.00196
архивный,0.002801,0.236572,0.000663
астана,0.00112,1.39794,0.001566
астероид,0.00112,1.39794,0.001566
астрономический,0.001681,1.522879,0.002559
астрофизик,0.00112,1.30103,0.001458
атлетика,0.001681,1.09691,0.001844
афганистан,0.001681,0.69897,0.001175
афины,0.00056,1.30103,0.000729
афроамериканец,0.00112,1.522879,0.001706
ахмад,0.00056,1.522879,0.000853
аэропорт,0.00112,0.853872,0.000957
аэростат,0.00056,1.69897,0.000952
аэс,0.00056,1.30103,0.000729
багдад,0.00056,1.154902,0.000647
багдади,0.00056,1.69897,0.000952
байден,0.00056,1.522879,0.000853
бакр,0.00056,1.69897,0.000952
баку,0.00112,1.30103,0.001458
банкнот,0.00056,1.09691,0.000615
барак,0.00056,1.39794,0.000783
бархатный,0.00056,2.0,0.00112
беларусь,0.00112,0.958607,0.001074
бен,0.00056,1.045757,0.000586
беспорядок,0.00056,1.09691,0.000615
блокировка,0.00056,0.920819,0.000516
богоматерь,0.00056,2.0,0.00112
бозон,0.002241,2.0,0.004482
болезнь,0.00056,0.958607,0.000537
болт,0.00056,1.69897,0.000952
большой,0.00056,0.259637,0.000145
бороться,0.00056,1.0,0.00056
бразилия,0.00112,1.0,0.00112
вагнер,0.00056,1.221849,0.000685
ванкувер,0.00056,1.09691,0.000615
введение,0.00056,0.657577,0.000368
ввести,0.00056,0.376751,0.000211
век,0.011204,0.173925,0.001949
векскрытый,0.00056,2.0,0.00112
великобритания,0.001681,0.408935,0.000687
версия,0.00112,0.022276,2.5e-05
весна,0.00056,0.853872,0.000478
взгляд,0.00056,0.823909,0.000462
видео,0.00056,0.769551,0.000431
видеокарта,0.00056,2.0,0.00112
видно,0.00056,1.045757,0.000586
викидать,0.00056,0.036212,2e-05
викимедиа,0.00056,0.040959,2.3e-05
википедия,0.003922,0.031517,0.000124
викитека,0.00112,0.886057,0.000993
включение,0.00056,0.886057,0.000496
владимир,0.00056,0.508638,0.000285
власть,0.00056,0.356547,0.0002
вмо,0.00112,2.0,0.002241
военный,0.00056,0.229148,0.000128
воз,0.002241,1.221849,0.002738
возвращение,0.00056,0.677781,0.00038
возможный,0.00056,0.468521,0.000262
война,0.006162,0.19382,0.001194
войти,0.00056,0.481486,0.00027
волна,0.00112,1.0,0.00112
восточный,0.00112,0.318759,0.000357
восхитить,0.00056,1.69897,0.000952
впервые,0.00112,0.337242,0.000378
врач,0.00056,0.920819,0.000516
время,0.001681,0.065502,0.00011
всемирный,0.002241,0.552842,0.001239
всеправославный,0.00112,2.0,0.002241
вспышка,0.00112,1.69897,0.001904
встретиться,0.00056,1.0,0.00056
вступить,0.00056,0.585027,0.000328
вступление,0.00056,0.823909,0.000462
всё,0.00112,0.180456,0.000202
вто,0.00056,1.69897,0.000952
