Term,TF,IDF,TF-IDF
абрахам,0.000446,1.39794,0.000623
абстракционист,0.000446,1.69897,0.000757
авиаконструктор,0.000446,1.522879,0.000679
авианалёт,0.000446,1.69897,0.000757
австралийский,0.000891,0.823909,0.000734
австрийский,0.001337,0.744727,0.000996
автомобиль,0.000891,0.79588,0.000709
автомобильный,0.000446,0.920819,0.00041
автор,0.002674,0.387216,0.001035
авторский,0.000446,0.886057,0.000395
авторство,0.000446,0.040959,1.8e-05
авуары,0.000446,1.39794,0.000623
адам,0.000446,0.920819,0.00041
азербайджан,0.000891,0.769551,0.000686
азербайджанский,0.000446,1.0,0.000446
айресский,0.000446,1.69897,0.000757
академик,0.000891,0.853872,0.000761
академия,0.000446,0.79588,0.000355
акиям,0.000446,1.69897,0.000757
актриса,0.006684,0.823909,0.005507
актёр,0.005793,0.69897,0.004049
акция,0.000446,0.744727,0.000332
алан,0.000446,0.823909,0.000367
алберт,0.000446,1.69897,0.000757
александр,0.004456,0.443697,0.001977
алиев,0.000446,1.30103,0.00058
алим,0.000446,1.522879,0.000679
альбер,0.000446,1.522879,0.000679
альтернативный,0.000446,0.958607,0.000427
альтьерь,0.000446,1.69897,0.000757
альфред,0.000446,1.221849,0.000544
америго,0.000446,1.69897,0.000757
америка,0.000446,0.49485,0.000221
американец,0.000446,0.79588,0.000355
американский,0.012923,0.337242,0.004358
амна,0.000446,1.522879,0.000679
анат,0.000446,1.69897,0.000757
анатолий,0.000446,0.744727,0.000332
англ,0.000446,0.200659,8.9e-05
английский,0.000891,0.408935,0.000364
англичанин,0.000446,0.958607,0.000427
англия,0.000891,0.638272,0.000569
ангнуть,0.000446,0.823909,0.000367
анджела,0.000446,1.39794,0.000623
андрей,0.000891,0.79588,0.000709
анна,0.000446,0.769551,0.000343
антибиотик,0.000446,1.522879,0.000679
антифашист,0.000446,1.522879,0.000679
апрель,0.000446,0.136677,6.1e-05
аргентина,0.000446,0.823909,0.000367
арестовать,0.000891,0.823909,0.000734
армия,0.000446,0.39794,0.000177
артист,0.004011,0.958607,0.003845
артистка,0.000446,1.045757,0.000466
артём,0.000446,1.522879,0.000679
архивировать,0.002228,0.124939,0.000278
архивный,0.000891,0.236572,0.000211
архиерейский,0.000446,1.69897,0.000757
архимед,0.000446,1.69897,0.000757
архитектор,0.000446,0.886057,0.000395
ассамблея,0.000446,0.823909,0.000367
астролог,0.000446,1.522879,0.000679
астроном,0.001783,1.154902,0.002059
астрофизик,0.000446,1.30103,0.00058
атака,0.000446,0.853872,0.000381
афонский,0.000891,1.522879,0.001357
баварский,0.000446,1.39794,0.000623
байков,0.000446,1.39794,0.000623
балетмейстер,0.000446,1.39794,0.000623
банда,0.000446,1.09691,0.000489
банк,0.000891,0.79588,0.000709
банкротство,0.000446,1.30103,0.00058
банус,0.000446,1.69897,0.000757
бард,0.000446,1.522879,0.000679
баруздин,0.000446,1.69897,0.000757
бегун,0.000446,1.30103,0.00058
белград,0.000446,1.045757,0.000466
белоруссия,0.000446,0.769551,0.000343
бельгийский,0.000446,0.920819,0.00041
берег,0.000446,0.638272,0.000284
берковский,0.000446,1.69897,0.000757
бессель,0.000446,1.69897,0.000757
бестселлер,0.000446,1.69897,0.000757
биолог,0.000446,1.30103,0.00058
биохимик,0.000446,1.69897,0.000757
битва,0.000446,0.537602,0.00024
биш,0.000446,1.69897,0.000757
близ,0.000446,0.769551,0.000343
богдан,0.000446,1.522879,0.000679
богослов,0.000446,1.221849,0.000544
боевик,0.000446,0.958607,0.000427
боец,0.000446,1.09691,0.000489
божий,0.000446,1.30103,0.00058
боксёр,0.000446,1.39794,0.000623
бонавентура,0.000446,1.69897,0.000757
бонний,0.000446,1.522879,0.000679
боппа,0.000891,1.69897,0.001514
борейко,0.000446,1.69897,0.000757
борец,0.000446,1.30103,0.00058
борис,0.000891,0.677781,0.000604
борьба,0.000891,0.420216,0.000375
боттичинить,0.000446,1.69897,0.000757
бразилец,0.000446,1.69897,0.000757
брайан,0.000446,1.0,0.000446
брак,0.000446,0.823909,0.000367
брат,0.000446,0.657577,0.000293
брейвика,0.000446,1.69897,0.000757
британский,0.001337,0.356547,0.000477
бульонский,0.000446,1.69897,0.000757
бургундия,0.000446,1.69897,0.000757
буэнос,0.000446,1.69897,0.000757
быт,0.000446,1.09691,0.000489
ваксман,0.000446,1.69897,0.000757
валуа,0.000446,1.522879,0.000679
валютный,0.000446,1.154902,0.000515
варсанофьев,0.000446,1.69897,0.000757
василиевич,0.000446,0.958607,0.000427
василий,0.000446,1.09691,0.000489
введение,0.000446,0.657577,0.000293
ввести,0.000446,0.376751,0.000168
ведущий,0.000446,0.677781,0.000302
