Term,TF,IDF,TF-IDF
аббас,1.5e-05,3.912023,5e-05
абдулрахман,1.5e-05,4.60517,7.1e-05
абел,1.5e-05,1.771957,7.1e-05
або,1.5e-05,3.218876,5.4e-05
абрам,1.5e-05,3.506558,7.1e-05
абрамов,1.5e-05,3.912023,7.1e-05
абрамович,0.000387,1.966113,0.00109
абрамченко,3.1e-05,3.912023,0.000143
абрау,1.5e-05,4.60517,7.1e-05
абс,3.1e-05,3.912023,0.000143
абсолютный,3.1e-05,3.506558,6.3e-05
абхазия,1.5e-05,2.65926,3.4e-05
авангард,4.6e-05,1.07881,0.000124
август,0.002385,2.040221,0.000955
авена,0.000139,4.60517,0.000642
авено,7.7e-05,3.218876,0.000357
авербух,1.5e-05,4.60517,7.1e-05
аверин,1.5e-05,2.995732,7.1e-05
авиа,1.5e-05,4.60517,7.1e-05
авиабилет,1.5e-05,2.65926,7.1e-05
авиадеталь,1.5e-05,2.407946,7.1e-05
авиакомпания,0.000604,2.040221,0.001945
авиакомплекс,1.5e-05,1.660731,7.1e-05
авиакон,1.5e-05,4.60517,7.1e-05
авиалиния,7.7e-05,2.813411,0.000303
авиаоператор,1.5e-05,2.813411,7.1e-05
авиаотрасль,1.5e-05,3.506558,7.1e-05
авиапарк,1.5e-05,3.912023,7.1e-05
авиапарка,1.5e-05,4.60517,7.1e-05
авиаперевозка,1.5e-05,4.60517,7.1e-05
авиаперевозчик,7.7e-05,1.514128,0.000357
авиарейс,3.1e-05,4.60517,0.000109
авиаремонтный,3.1e-05,2.813411,0.000143
авиасанкция,1.5e-05,2.995732,7.1e-05
авиасообщение,3.1e-05,2.995732,0.000143
авиастроительный,9.3e-05,0.820981,0.000428
авиатехник,4.6e-05,1.560648,0.000182
авиационный,0.000356,1.771957,0.0009
авиация,0.000294,1.021651,0.000505
аврора,1.5e-05,3.506558,4.4e-05
австралийский,4.6e-05,3.912023,8.8e-05
австралия,0.001084,3.912023,0.002132
австрийский,1.5e-05,3.506558,2.7e-05
австрия,0.000248,4.60517,0.000344
авто,4.6e-05,1.514128,0.00015
автобус,1.5e-05,2.302585,4.4e-05
автозавод,1.5e-05,3.506558,7.1e-05
автоматизация,3.1e-05,4.60517,8.7e-05
автоматизированный,1.5e-05,3.912023,4.6e-05
автоматика,1.5e-05,1.89712,7.1e-05
автоматический,3.1e-05,3.506558,5.5e-05
автомобилестроение,3.1e-05,2.120264,0.000109
автомобиль,0.000759,2.995732,0.001391
автомобильный,0.000108,2.120264,0.00023
автономный,0.000155,3.218876,0.000266
автор,6.2e-05,1.609438,5.5e-05
авторский,1.5e-05,1.237874,3.2e-05
авторство,1.5e-05,3.506558,1e-06
авторський,1.5e-05,3.506558,7.1e-05
автотранспорт,1.5e-05,4.60517,6.1e-05
автотранспортный,1.5e-05,4.60517,7.1e-05
авуары,1.5e-05,3.912023,5e-05
агабекян,1.5e-05,3.506558,7.1e-05
агаджани,3.1e-05,2.813411,0.000143
аганбегян,1.5e-05,3.218876,7.1e-05
агат,6.2e-05,1.347074,0.000285
агатсистема,1.5e-05,3.912023,7.1e-05
агафон,1.5e-05,1.469676,7.1e-05
агеев,1.5e-05,4.60517,6.1e-05
агент,4.6e-05,4.60517,0.000117
агентство,0.000991,2.65926,0.001646
аграрий,1.5e-05,1.966113,7.1e-05
агрессивный,4.6e-05,2.407946,0.000117
агрессия,0.000186,3.912023,0.00041
агрессор,1.5e-05,2.207275,5.4e-05
агро,1.5e-05,4.60517,6.1e-05
агропродукция,1.5e-05,2.302585,7.1e-05
адам,1.5e-05,4.60517,3.3e-05
адаптация,3.1e-05,2.407946,0.000109
адаптировать,1.5e-05,4.60517,4.4e-05
адвокат,4.6e-05,2.995732,0.000182
адвокатский,1.5e-05,1.966113,6.1e-05
административно,6.2e-05,0.755023,0.000143
административный,9.3e-05,3.218876,0.000129
администрация,0.00031,4.60517,0.000515
адмирайтейский,1.5e-05,0.867501,7.1e-05
адмиралтейский,3.1e-05,4.60517,0.000121
адольфас,1.5e-05,4.60517,7.1e-05
адольфо,1.5e-05,2.525729,7.1e-05
адольфос,1.5e-05,3.912023,7.1e-05
адоньев,3.1e-05,4.60517,0.000143
адрес,3.1e-05,3.912023,4.7e-05
адресный,3.1e-05,1.832581,0.000121
адриатический,1.5e-05,3.506558,5e-05
адыгея,1.5e-05,1.609438,7.1e-05
азади,1.5e-05,2.525729,6.1e-05
азаренок,3.1e-05,2.995732,0.000143
азаров,3.1e-05,3.218876,0.000143
азатбек,1.5e-05,3.912023,7.1e-05
азаттык,3.1e-05,3.218876,0.000143
азербайджан,0.000108,3.912023,0.000192
азербайджанский,4.6e-05,0.84397,0.000107
азиатский,4.6e-05,4.60517,0.000103
азиатско,3.1e-05,1.049822,0.000109
азимут,1.5e-05,3.912023,7.1e-05
азия,7.7e-05,2.65926,0.000107
азовский,4.6e-05,3.912023,0.000139
азовський,1.5e-05,4.60517,7.1e-05
азот,1.5e-05,4.60517,7.1e-05
азотный,3.1e-05,4.60517,0.000143
азур,1.5e-05,2.302585,7.1e-05
аини,1.5e-05,3.218876,7.1e-05
айдахо,1.5e-05,1.386294,6.1e-05
айить,1.5e-05,2.040221,7.1e-05
айкут,1.5e-05,3.912023,7.1e-05
айленд,1.5e-05,1.237874,4.4e-05
айлогик,1.5e-05,1.386294,7.1e-05
аймани,1.5e-05,2.995732,7.1e-05
айова,1.5e-05,2.407946,6.1e-05
айрат,1.5e-05,3.912023,7.1e-05
айронсайда,3.1e-05,2.813411,0.000143
айтек,1.5e-05,2.995732,7.1e-05
айшат,3.1e-05,3.506558,0.000143
академик,7.7e-05,4.60517,0.000152
академия,9.3e-05,2.65926,0.00017
аким,1.5e-05,1.514128,7.1e-05
акимов,1.5e-05,4.60517,7.1e-05
акинфей,1.5e-05,3.218876,5.4e-05
аккерманна,1.5e-05,4.60517,7.1e-05
аккредитация,6.2e-05,1.89712,0.000242
аккредитовать,3.1e-05,2.995732,0.000121
аккумулятор,1.5e-05,3.506558,7.1e-05
аккумуляторный,1.5e-05,2.207275,6.1e-05
акопов,1.5e-05,2.813411,7.1e-05
акр,1.5e-05,2.207275,4.6e-05
акрон,1.5e-05,4.60517,7.1e-05
акротири,4.6e-05,0.71335,0.000124
аксессуар,1.5e-05,2.65926,6.1e-05
аксиома,1.5e-05,2.207275,6.1e-05
аксютина,1.5e-05,3.506558,7.1e-05
аксёнов,3.1e-05,2.995732,0.000121
акт,3.1e-05,4.60517,5.5e-05
актив,0.002525,1.272966,0.007564
активизация,3.1e-05,1.386294,0.000109
активист,4.6e-05,4.60517,0.000163
активно,1.5e-05,2.407946,2.1e-05
активный,9.3e-05,1.237874,0.000129
актуализировать,1.5e-05,3.218876,7.1e-05
актуальный,3.1e-05,4.60517,7.1e-05
актёр,0.000155,0.967584,0.000249
акционер,7.7e-05,3.218876,0.000232
акционерный,7.7e-05,1.609438,0.000272
акция,0.000248,1.832581,0.000425
алааддин,1.5e-05,4.60517,7.1e-05
алабама,1.5e-05,3.912023,5e-05
алабуг,1.5e-05,3.218876,7.1e-05
алан,4.6e-05,2.65926,8.8e-05
албания,0.000666,1.07881,0.001682
але,1.5e-05,3.506558,7.1e-05
алевкурп,1.5e-05,4.60517,7.1e-05
алекпер,1.5e-05,1.832581,7.1e-05
александара,1.5e-05,3.218876,5.4e-05
александр,0.001595,1.347074,0.00163
александров,3.1e-05,3.912023,0.0001
александрович,1.5e-05,2.813411,3.4e-05
александровский,4.6e-05,2.120264,0.000163
алексашенко,1.5e-05,3.506558,7.1e-05
алексеев,1.5e-05,2.207275,5.4e-05
алексеенко,3.1e-05,3.218876,0.000143
алексей,0.00079,2.407946,0.001064
алексий,3.1e-05,4.60517,0.000143
алесь,3.1e-05,2.040221,0.000143
алеф,1.5e-05,3.912023,6.1e-05
али,3.1e-05,2.040221,5.5e-05
алиев,1.5e-05,4.60517,4.6e-05
алин,3.1e-05,4.60517,0.000143
алина,0.00017,4.60517,0.000667
алиханов,3.1e-05,4.60517,0.000143
алишер,0.000279,1.469676,0.001091
алкоголь,0.000124,3.912023,0.000435
алкогольный,0.000124,0.941609,0.000435
алла,6.2e-05,3.912023,0.000242
аллегров,3.1e-05,4.60517,0.000143
алмаз,0.00048,3.506558,0.002211
алмазный,1.5e-05,2.407946,6.1e-05
