Term,TF,IDF,TF-IDF
абас,0.000335,2.0,0.00067
авакумович,0.00067,2.0,0.00134
август,0.00335,0.173925,0.000583
авдеевка,0.000335,2.0,0.00067
автограф,0.000335,1.09691,0.000367
автокефалия,0.000335,2.0,0.00067
автомобиль,0.000335,0.79588,0.000267
авторство,0.000335,0.040959,1.4e-05
агентство,0.000335,0.721246,0.000242
агрессия,0.00067,0.958607,0.000642
ажиотаж,0.000335,1.69897,0.000569
азия,0.000335,0.60206,0.000202
академия,0.000335,0.79588,0.000267
акт,0.000335,0.769551,0.000258
албанец,0.001005,1.39794,0.001405
алекс,0.000335,0.958607,0.000321
александара,0.001005,1.522879,0.001531
александр,0.00938,0.443697,0.004162
александрийский,0.000335,1.69897,0.000569
алфавитупрезидент,0.000335,2.0,0.00067
американский,0.000335,0.337242,0.000113
ана,0.00134,1.522879,0.002041
ангелина,0.00067,1.522879,0.00102
английский,0.000335,0.408935,0.000137
анджелко,0.000335,2.0,0.00067
анжелко,0.000335,2.0,0.00067
апостол,0.000335,1.154902,0.000387
апрель,0.00335,0.136677,0.000458
арабский,0.000335,0.638272,0.000214
арие,0.000335,2.0,0.00067
армия,0.00067,0.39794,0.000267
арсланагич,0.000335,2.0,0.00067
архивировать,0.017755,0.124939,0.002218
архивный,0.00067,0.236572,0.000159
ассамблея,0.00067,0.823909,0.000552
аудио,0.000335,1.0,0.000335
балканский,0.000335,1.0,0.000335
балканы,0.00067,1.0,0.00067
баллотироваться,0.000335,1.522879,0.00051
баня,0.001005,1.154902,0.001161
баскетбол,0.000335,1.30103,0.000436
бахмут,0.000335,2.0,0.00067
бедный,0.000335,1.0,0.000335
безопасность,0.00067,0.481486,0.000323
белград,0.00603,1.045757,0.006306
белградевыпускник,0.000335,2.0,0.00067
белградский,0.001675,1.39794,0.002342
белый,0.000335,0.508638,0.00017
бессмысленно,0.000335,2.0,0.00067
библиографический,0.000335,0.275724,9.2e-05
биография,0.001675,0.79588,0.001333
блазнавац,0.000335,2.0,0.00067
блок,0.000335,0.677781,0.000227
боец,0.000335,1.09691,0.000367
божович,0.000335,2.0,0.00067
болельщик,0.000335,1.69897,0.000569
больший,0.001005,0.167491,0.000168
большинство,0.000335,0.376751,0.000126
большой,0.002345,0.259637,0.000609
бомбардировка,0.00067,0.823909,0.000552
бомбардуваннь,0.000335,2.0,0.00067
борис,0.000335,0.677781,0.000227
борьба,0.00067,0.420216,0.000282
босна,0.000335,1.39794,0.000468
босния,0.001005,1.0,0.001005
боцан,0.000335,2.0,0.00067
боянич,0.000335,2.0,0.00067
брайан,0.00067,1.0,0.00067
брак,0.00067,0.823909,0.000552
брнабич,0.00201,2.0,0.00402
брюссель,0.00134,1.522879,0.002041
будущее,0.001005,0.537602,0.00054
бывший,0.000335,0.356547,0.000119
быть,0.001675,0.337242,0.000565
важный,0.000335,0.443697,0.000149
вашингтон,0.000335,0.886057,0.000297
ввести,0.00134,0.376751,0.000505
ведомость,0.000335,0.958607,0.000321
векадействовать,0.000335,2.0,0.00067
вели,0.000335,1.154902,0.000387
великий,0.000335,0.443697,0.000149
велимирович,0.00067,2.0,0.00134
верить,0.001005,0.958607,0.000963
версия,0.001675,0.022276,3.7e-05
верховный,0.000335,0.585027,0.000196
веселин,0.000335,2.0,0.00067
вестись,0.000335,0.638272,0.000214
весь,0.00134,0.229148,0.000307
взять,0.000335,0.420216,0.000141
вид,0.000335,0.283997,9.5e-05
видео,0.000335,0.769551,0.000258
видеть,0.000335,0.79588,0.000267
визит,0.00134,1.045757,0.001401
викиданныхвикипедия,0.000335,1.154902,0.000387
викидать,0.00067,0.036212,2.4e-05
викимедиа,0.000335,0.040959,1.4e-05
википедия,0.002345,0.031517,7.4e-05
викисклад,0.00067,0.124939,8.4e-05
викискладвикипедия,0.000335,1.0,0.000335
викицитатникстатья,0.000335,1.09691,0.000367
виновный,0.00067,1.522879,0.00102
вица,0.000335,0.619789,0.000208
вклад,0.00067,0.823909,0.000552
включать,0.000335,0.481486,0.000161
включая,0.000335,0.49485,0.000166
владеть,0.000335,1.0,0.000335
владимир,0.00134,0.508638,0.000682
влияние,0.00067,0.420216,0.000282
вместе,0.00067,0.420216,0.000282
вместо,0.000335,0.522879,0.000175
внешний,0.00067,0.173925,0.000117
внутренний,0.00067,0.366532,0.000246
внятно,0.000335,2.0,0.00067
воевать,0.000335,0.920819,0.000308
военный,0.001675,0.229148,0.000384
возвращение,0.000335,0.677781,0.000227
возглавить,0.000335,1.154902,0.000387
возглавлять,0.000335,0.823909,0.000276
возможность,0.001005,0.356547,0.000358
возможный,0.000335,0.468521,0.000157
возобновление,0.000335,1.39794,0.000468
воислав,0.000335,1.69897,0.000569
война,0.00134,0.19382,0.00026
вопрос,0.00067,0.267606,0.000179
время,0.001005,0.065502,6.6e-05
встретить,0.000335,0.823909,0.000276
встреча,0.003685,0.79588,0.002933
вступать,0.000335,1.30103,0.000436
вступить,0.00201,0.585027,0.001176
вступление,0.00134,0.823909,0.001104
всё,0.00067,0.180456,0.000121
вторжение,0.001005,0.69897,0.000702
второй,0.00134,0.173925,0.000233
вуич,0.000335,2.0,0.00067
вукан,0.000335,2.0,0.00067
вучич,0.000335,2.0,0.00067
вучича,0.027806,1.39794,0.038871
вучичсерб,0.000335,2.0,0.00067
вхождение,0.00067,1.0,0.00067
въезд,0.000335,1.09691,0.000367
выборы,0.003015,0.420216,0.001267
выбрать,0.00067,0.522879,0.00035
выдающийся,0.000335,0.958607,0.000321
вызвать,0.000335,0.443697,0.000149
выплатить,0.000335,2.0,0.00067
выполнение,0.000335,0.744727,0.000249
выполнять,0.00067,0.638272,0.000428
выразить,0.001675,0.823909,0.00138
высказать,0.000335,1.221849,0.000409
высокий,0.000335,0.30103,0.000101
гаагский,0.000335,2.0,0.00067
газ,0.00067,0.920819,0.000617
газета,0.00134,0.39794,0.000533
гарашанин,0.001005,2.0,0.00201
генерал,0.000335,0.568636,0.00019
генеральный,0.00134,0.508638,0.000682
герцеговина,0.001005,1.0,0.001005
гимназия,0.000335,1.39794,0.000468
глава,0.001675,0.251812,0.000422
говорить,0.00067,0.60206,0.000403
год,0.038861,0.008774,0.000341
годовщина,0.000335,1.522879,0.00051
годуминистр,0.000335,2.0,0.00067
годупрезидент,0.000335,2.0,0.00067
годуродиться,0.000335,1.30103,0.000436
годускрытый,0.000335,1.69897,0.000569
голова,0.000335,0.886057,0.000297
голос,0.00067,0.657577,0.000441
горан,0.000335,2.0,0.00067
гордиться,0.00067,2.0,0.00134
город,0.001005,0.236572,0.000238
городской,0.000335,0.60206,0.000202
горожанин,0.000335,1.0,0.000335
госдеп,0.000335,1.69897,0.000569
госсекретарь,0.000335,2.0,0.00067
государственный,0.00134,0.275724,0.000369
государство,0.001005,0.275724,0.000277
государствпремьер,0.000335,2.0,0.00067
готовность,0.000335,1.09691,0.000367
град,0.000335,1.154902,0.000387
гражданин,0.001675,0.522879,0.000876
груич,0.001675,2.0,0.00335
давидович,0.000335,1.69897,0.000569
дальнейший,0.00067,0.69897,0.000468
данило,0.000335,1.69897,0.000569
дата,0.017085,0.055517,0.000949
дать,0.000335,0.236572,7.9e-05
дачича,0.00201,1.69897,0.003415
два,0.00067,0.207608,0.000139
дверь,0.000335,1.154902,0.000387
девиз,0.000335,1.0,0.000335
дезинформация,0.000335,1.522879,0.00051
действие,0.000335,0.283997,9.5e-05
действовать,0.000335,0.022276,7e-06
декабрь,0.011055,0.107905,0.001193
делегация,0.000335,1.09691,0.000367
дело,0.000335,0.318759,0.000107
день,0.001675,0.124939,0.000209
депутат,0.00067,0.677781,0.000454
деянович,0.000335,2.0,0.00067
деятель,0.000335,0.619789,0.000208
деятельность,0.00067,0.431798,0.000289
джинджич,0.000335,2.0,0.00067
джокович,0.000335,2.0,0.00067
джорджевич,0.000335,2.0,0.00067
джуканович,0.000335,1.69897,0.000569
джукич,0.000335,2.0,0.00067
диалог,0.00201,1.30103,0.002615
динар,0.000335,1.154902,0.000387
дипломатический,0.000335,0.677781,0.000227
директор,0.00067,0.721246,0.000483
дискуссия,0.00067,1.045757,0.000701
для,0.000335,0.275724,9.2e-05
доброволец,0.000335,1.154902,0.000387
доверять,0.00067,1.39794,0.000937
додик,0.000335,1.522879,0.00051
докич,0.000335,2.0,0.00067
должность,0.00201,0.60206,0.00121
должный,0.001005,0.21467,0.000216
домой,0.000335,1.39794,0.000468
донбасс,0.00067,1.09691,0.000735
дополнительный,0.000335,0.036212,1.2e-05
дороньский,0.000335,2.0,0.00067
доступный,0.000335,0.022276,7e-06
достык,0.000335,2.0,0.00067
доход,0.001005,0.886057,0.000891
дочь,0.000335,0.79588,0.000267
драган,0.001005,1.522879,0.001531
другой,0.00134,0.004365,6e-06
дружба,0.00067,1.39794,0.000937
дружественный,0.000335,1.221849,0.000409
думать,0.000335,0.958607,0.000321
европа,0.000335,0.366532,0.000123
европейский,0.003685,0.443697,0.001635
евросоюз,0.00067,1.09691,0.000735
евтич,0.000335,2.0,0.00067
единственный,0.00067,0.481486,0.000323
если,0.000335,0.420216,0.000141
ещё,0.00067,0.017729,1.2e-05
ждать,0.00067,1.09691,0.000735
желание,0.00067,0.920819,0.000617
желька,0.000335,2.0,0.00067
жена,0.00067,0.853872,0.000572
женщина,0.000335,0.522879,0.000175
живкович,0.000335,2.0,0.00067
жизнь,0.00067,0.327902,0.00022
жить,0.000335,0.552842,0.000185
журналист,0.00134,0.823909,0.001104
заверить,0.00067,1.30103,0.000872
зависеть,0.000335,0.744727,0.000249
завръщий,0.000335,2.0,0.00067
заглавный,0.000335,0.022276,7e-06
заинтересованность,0.000335,1.522879,0.00051
закон,0.000335,0.346787,0.000116
закончить,0.000335,0.823909,0.000276
закончиться,0.000335,0.619789,0.000208
закрытый,0.000335,0.769551,0.000258
замена,0.000335,0.769551,0.000258
занимать,0.000335,0.508638,0.00017
заниматься,0.000335,0.619789,0.000208
запад,0.000335,0.552842,0.000185
западный,0.000335,0.366532,0.000123
записьвойти,0.000335,0.031517,1.1e-05
запретить,0.00067,0.552842,0.00037
запрос,0.000335,0.537602,0.00018
зарегистрировать,0.000335,0.031517,1.1e-05
зарплата,0.000335,1.39794,0.000468
заслуга,0.000335,1.221849,0.000409
затем,0.000335,0.346787,0.000116
защита,0.00067,0.552842,0.00037
защитить,0.000335,0.721246,0.000242
заявить,0.007035,0.552842,0.003889
заявление,0.00134,0.022276,3e-05
заявлять,0.00067,0.823909,0.000552
звезда,0.000335,0.79588,0.000267
зеленович,0.000335,2.0,0.00067
зеленский,0.000335,1.39794,0.000468
земун,0.000335,2.0,0.00067
земунскай,0.000335,2.0,0.00067
знак,0.000335,0.022276,7e-06
значение,0.000335,0.267606,9e-05
значительно,0.00067,0.356547,0.000239
значительный,0.000335,0.508638,0.00017
иванович,0.002345,0.769551,0.001805
