Term,TF,IDF,TF-IDF
август,0.00084,0.673345,0.000336
авторитетный,0.00084,2.302585,0.00144
авторский,0.001679,1.469676,0.003426
авторство,0.00084,1.832581,7.9e-05
авторысценарий,0.00084,1.609438,0.003285
агнат,0.00084,0.094311,0.003867
адрес,0.00084,3.218876,0.001271
айзать,0.00084,1.203973,0.003867
актёр,0.00084,2.120264,0.001351
акушерка,0.00084,1.469676,0.003867
алекс,0.001679,2.407946,0.003707
алфавитустатья,0.00084,2.995732,0.002703
алфавитуфильм,0.00084,0.653926,0.003285
альберт,0.002519,1.272966,0.006362
америка,0.00084,2.207275,0.000957
американский,0.00084,3.506558,0.000652
анаболик,0.00084,1.469676,0.003867
англ,0.001679,2.040221,0.000776
английский,0.001679,0.18633,0.001581
анонсировать,0.001679,1.171183,0.003867
антиутопия,0.001679,0.916291,0.007733
армагеддон,0.00084,4.60517,0.003867
архив,0.00084,3.912023,0.000858
архивировать,0.008396,2.995732,0.002415
архивный,0.001679,4.60517,0.000915
бар,0.00084,2.040221,0.002233
беглец,0.002519,1.469676,0.008833
бегство,0.00084,0.083382,0.002515
бейкер,0.00084,4.60517,0.002703
бенгази,0.00084,3.506558,0.002944
бескрайний,0.00084,2.407946,0.003867
бизнес,0.00084,1.021651,0.001271
бин,0.00084,3.218876,0.003285
боевик,0.00084,1.07881,0.001853
брайан,0.00084,1.660731,0.001933
брайсуолтер,0.00084,1.347074,0.003867
будущее,0.002519,0.776529,0.003118
буквально,0.00084,4.60517,0.002515
бункер,0.001679,2.302585,0.006569
бушеметь,0.00084,1.347074,0.003867
бывший,0.00084,1.966113,0.000689
быть,0.00084,3.218876,0.000652
бэй,0.001679,2.302585,0.005031
бэййена,0.00084,3.912023,0.003867
бэя,0.001679,0.020203,0.007733
бэяфильм,0.00084,0.287682,0.003867
бюджет,0.00084,2.120264,0.001488
вдогонку,0.00084,1.966113,0.003867
век,0.00084,1.609438,0.000336
вернуть,0.00084,2.525729,0.00144
вернуться,0.00084,3.912023,0.001351
версия,0.004198,4.60517,0.000215
вид,0.00084,2.302585,0.000549
викидать,0.00084,3.506558,7e-05
викимедиа,0.00084,2.525729,7.9e-05
википедия,0.005038,3.218876,0.000366
викисклад,0.002519,1.386294,0.000725
викицитатник,0.00084,1.07881,0.002515
викицитатникстатья,0.00084,2.302585,0.002121
включение,0.00084,0.634878,0.001713
внесудебный,0.00084,0.820981,0.003285
внешний,0.00084,3.506558,0.000336
военный,0.00084,2.407946,0.000443
возмездие,0.00084,2.207275,0.002515
возникать,0.00084,1.771957,0.001713
воин,0.00084,1.89712,0.001593
вопрос,0.00084,3.218876,0.000517
воспоминание,0.00084,2.407946,0.001853
впервые,0.00084,0.867501,0.000652
время,0.00084,1.427116,0.000127
всё,0.00084,1.89712,0.000349
вторичный,0.00084,4.60517,0.002022
выбраться,0.00084,1.771957,0.003867
вызывать,0.00084,3.218876,0.001488
выигрыш,0.00084,3.912023,0.002703
выполнять,0.00084,2.813411,0.001234
выпуск,0.00084,1.469676,0.001099
выращивать,0.001679,2.995732,0.007733
выращиваться,0.00084,2.995732,0.003867
высокий,0.00084,0.941609,0.000582
высокотехнологичный,0.00084,3.912023,0.003285
выступить,0.00084,1.07881,0.00144
выясниться,0.00084,0.891598,0.002121
гавайи,0.00084,0.891598,0.002362
ганда,0.001679,1.021651,0.007733
геракл,0.00084,2.207275,0.003285
главный,0.00084,1.660731,0.000616
главныхроль,0.00084,4.60517,0.003285
