Term,TF,IDF,TF-IDF
август,0.001916,0.173925,0.000333
авторство,0.000958,0.040959,3.9e-05
административный,0.001916,0.60206,0.001153
академия,0.004789,0.79588,0.003812
алфавитуархитектор,0.001916,2.0,0.003831
альфред,0.003831,1.221849,0.004681
англ,0.000958,0.200659,0.000192
апрель,0.008621,0.136677,0.001178
армия,0.000958,0.39794,0.000381
архив,0.000958,0.443697,0.000425
архивировать,0.008621,0.124939,0.001077
архитектор,0.008621,0.886057,0.007638
архитектура,0.006705,0.638272,0.00428
архитектурный,0.004789,1.09691,0.005253
атмосфера,0.000958,1.221849,0.00117
банкир,0.001916,1.69897,0.003255
баня,0.004789,1.154902,0.005531
баррикада,0.000958,1.39794,0.001339
бассейн,0.003831,0.920819,0.003528
берг,0.002874,1.522879,0.004376
берлин,0.015326,0.823909,0.012627
берлинапочётный,0.000958,2.0,0.001916
берлиначлен,0.000958,2.0,0.001916
берлинеперсоналий,0.000958,2.0,0.001916
берлинский,0.009579,0.958607,0.009182
биография,0.001916,0.79588,0.001525
близнец,0.000958,1.39794,0.001339
больница,0.000958,1.30103,0.001246
больничный,0.001916,2.0,0.003831
больший,0.000958,0.167491,0.00016
бранденбургский,0.004789,2.0,0.009579
брат,0.000958,0.657577,0.00063
бух,0.001916,2.0,0.003831
важный,0.000958,0.443697,0.000425
вайсбах,0.002874,2.0,0.005747
вайсенз,0.000958,2.0,0.001916
валентина,0.000958,1.221849,0.00117
ван,0.000958,0.677781,0.000649
век,0.000958,0.173925,0.000167
венский,0.001916,1.0,0.001916
версия,0.000958,0.022276,2.1e-05
верховный,0.002874,0.585027,0.001681
весь,0.000958,0.229148,0.000219
взлёт,0.000958,1.522879,0.001459
видный,0.000958,0.853872,0.000818
викидать,0.001916,0.036212,6.9e-05
викимедиа,0.000958,0.040959,3.9e-05
википедия,0.004789,0.031517,0.000151
викисклад,0.002874,0.124939,0.000359
вилла,0.000958,1.522879,0.001459
вирхов,0.000958,2.0,0.001916
включать,0.000958,0.481486,0.000461
включая,0.000958,0.49485,0.000474
влияние,0.001916,0.420216,0.000805
вместе,0.001916,0.420216,0.000805
военный,0.000958,0.229148,0.000219
война,0.002874,0.19382,0.000557
волшебный,0.000958,0.327902,0.000314
волькер,0.000958,2.0,0.001916
вопрос,0.000958,0.267606,0.000256
восприятие,0.000958,1.221849,0.00117
воссоздавать,0.000958,1.69897,0.001627
время,0.001916,0.065502,0.000125
всемирно,0.000958,1.522879,0.001459
вторично,0.000958,1.522879,0.001459
второй,0.000958,0.173925,0.000167
выборочно,0.001916,2.0,0.003831
