Term,TF,IDF,TF-IDF
август,0.001059,4.60517,0.000424
автомобиль,0.00053,1.966113,0.000971
автор,0.00053,4.60517,0.000472
авторство,0.00053,0.072571,5e-05
авторысценарий,0.00053,0.941609,0.002072
автостоянка,0.00053,2.407946,0.002439
адаптировать,0.00053,2.207275,0.00149
актёр,0.00053,4.60517,0.000852
алекс,0.00053,1.469676,0.001169
алфавитуфильм,0.00053,4.60517,0.002072
альф,0.001589,3.218876,0.007318
альфа,0.002119,2.120264,0.008288
амбициозный,0.00053,2.120264,0.002439
америка,0.00053,1.714798,0.000604
американский,0.001059,1.771957,0.000823
ангел,0.00053,1.771957,0.001705
ангела,0.00053,2.120264,0.001857
англ,0.003708,4.60517,0.001713
английский,0.001059,3.218876,0.000997
арестовать,0.00053,2.040221,0.001005
армия,0.001059,2.120264,0.000971
армстронг,0.00053,4.60517,0.002439
архив,0.00053,1.609438,0.000541
архивировать,0.009004,2.525729,0.00259
атмосферный,0.00053,1.771957,0.001857
база,0.003178,1.427116,0.003826
балл,0.00053,2.525729,0.001705
батальный,0.00053,4.60517,0.002439
батист,0.00053,1.609438,0.002072
баттерворт,0.00053,3.912023,0.002439
баттеруорт,0.002648,0.916291,0.012196
баттеруортджон,0.00053,1.07881,0.002439
беглец,0.00053,1.309333,0.001857
бежать,0.00053,1.660731,0.000939
бездействие,0.00053,0.71335,0.002072
бек,0.003178,3.506558,0.011144
бекаскрытый,0.00053,1.771957,0.002439
берег,0.00053,2.813411,0.000778
берман,0.00053,1.171183,0.002439
биби,0.001059,1.347074,0.004878
библиографический,0.00053,4.60517,0.000336
билл,0.002119,1.560648,0.00682
битва,0.00053,1.237874,0.000656
благодаря,0.00053,0.820981,0.000571
блант,0.004237,2.302585,0.019513
боевик,0.002648,1.347074,0.005846
боевикиэкранизация,0.00053,3.912023,0.002439
боевой,0.001059,2.207275,0.001469
бой,0.002119,0.562119,0.003306
болотина,0.001059,2.995732,0.004878
борный,0.001059,2.302585,0.004878
брендать,0.001059,1.427116,0.004878
бригхем,0.00053,2.813411,0.002439
бригхема,0.002119,1.386294,0.009757
бросать,0.00053,1.832581,0.001705
бросаться,0.00053,1.89712,0.001857
брэд,0.00053,2.040221,0.002072
брюс,0.00053,1.660731,0.001169
будущегоангл,0.00053,4.60517,0.002439
будущее,0.010064,3.218876,0.012457
быть,0.00053,2.040221,0.000411
бэртис,0.00053,3.912023,0.002439
бюджет,0.001059,0.544727,0.001877
вариант,0.001589,2.525729,0.001967
верден,0.002119,2.995732,0.008288
верить,0.001059,1.347074,0.002338
вернуться,0.00053,1.347074,0.000852
версия,0.001059,0.967584,5.4e-05
вертолёт,0.001059,2.040221,0.002551
вестись,0.00053,1.108663,0.000778
взвод,0.00053,4.60517,0.001705
видение,0.001589,1.832581,0.003826
видеть,0.001589,0.84397,0.002912
визуально,0.00053,2.65926,0.002072
визуальный,0.00053,2.995732,0.00122
викиданныхстатья,0.00053,4.60517,0.002439
викидать,0.00053,2.813411,4.4e-05
викимедиа,0.00053,4.60517,5e-05
википедия,0.003178,3.218876,0.000231
викисклад,0.001589,0.693147,0.000457
викицитатник,0.00053,1.714798,0.001587
викицитатникстатья,0.00053,3.506558,0.001338
владимир,0.001059,3.218876,0.001241
влиятельный,0.00053,2.302585,0.00122
вместе,0.00053,1.832581,0.000512
внешний,0.00053,4.60517,0.000212
внимание,0.00053,2.813411,0.000802
вновь,0.00053,0.094311,0.000778
военный,0.002648,1.427116,0.001397
возвращаться,0.00053,1.966113,0.001409
воздушный,0.00053,0.653926,0.000908
возле,0.00053,3.912023,0.001123
возмездие,0.00053,1.771957,0.001587
возможность,0.00053,1.771957,0.000435
возможный,0.001589,3.912023,0.001714
возражать,0.00053,3.218876,0.001857
воин,0.00053,1.469676,0.001005
война,0.001059,2.302585,0.000473
войско,0.00053,4.60517,0.000499
вокруг,0.00053,0.248461,0.000734
вопрос,0.00053,0.562119,0.000326
воспоминание,0.00053,0.051293,0.001169
вратаска,0.003178,1.89712,0.014635
временной,0.001059,3.218876,0.001311
время,0.003708,3.506558,0.000559
всемирный,0.00053,1.07881,0.000674
