Term,TF,IDF,TF-IDF
абсолютизм,0.00019,1.522879,0.000289
абсолютный,0.00019,0.886057,0.000168
август,0.000758,0.173925,0.000132
австрия,0.00019,0.60206,0.000114
авторство,0.00019,0.040959,8e-06
агентство,0.00019,0.721246,0.000137
агитация,0.00019,1.69897,0.000322
аграрный,0.000379,1.69897,0.000644
агрессивный,0.00019,1.09691,0.000208
административный,0.000569,0.60206,0.000342
администрация,0.00019,0.721246,0.000137
адмирал,0.000379,0.853872,0.000324
адольф,0.000379,1.221849,0.000463
ажиотаж,0.000569,1.69897,0.000966
активно,0.00019,0.585027,0.000111
активный,0.00019,0.60206,0.000114
акционер,0.00019,1.30103,0.000247
акция,0.00019,0.744727,0.000141
алфавитувикипедия,0.00019,0.721246,0.000137
альбер,0.000379,1.522879,0.000577
альянс,0.00019,1.09691,0.000208
амнистия,0.000758,1.69897,0.001288
анархизм,0.000569,2.0,0.001137
анархист,0.00019,1.522879,0.000289
анархистский,0.00019,2.0,0.000379
англофобия,0.00019,2.0,0.000379
ангнуть,0.001516,0.823909,0.001249
аннулировать,0.00019,1.522879,0.000289
анри,0.00019,1.522879,0.000289
антанта,0.001516,1.522879,0.002309
антисемит,0.000379,2.0,0.000758
антисемитизм,0.00019,1.39794,0.000265
антисемитический,0.00019,2.0,0.000379
античность,0.00019,1.221849,0.000232
апперо,0.00019,2.0,0.000379
араго,0.00019,2.0,0.000379
арест,0.000379,0.886057,0.000336
арестовать,0.000569,0.823909,0.000468
арзаканян,0.00019,2.0,0.000379
армейский,0.00019,1.0,0.00019
армия,0.001895,0.39794,0.000754
артиллерия,0.00019,1.221849,0.000232
архивировать,0.000948,0.124939,0.000118
архиепископ,0.00019,1.221849,0.000232
ассоциация,0.00019,0.886057,0.000168
африка,0.00019,0.657577,0.000125
аэростат,0.00019,1.69897,0.000322
базный,0.00019,2.0,0.000379
базть,0.00019,2.0,0.000379
байго,0.00019,2.0,0.000379
балканский,0.00019,1.0,0.00019
банк,0.000379,0.79588,0.000302
банкнот,0.00019,1.09691,0.000208
баррес,0.000379,2.0,0.000758
бежать,0.000379,0.769551,0.000292
без,0.000569,0.920819,0.000524
бездействие,0.00019,1.69897,0.000322
безопасность,0.00019,0.481486,9.1e-05
безумие,0.00019,2.0,0.000379
безусловно,0.00019,1.39794,0.000265
белый,0.00019,0.508638,9.6e-05
бельвиль,0.00019,2.0,0.000379
бельгия,0.000379,1.045757,0.000396
берлин,0.00019,0.823909,0.000156
бессилие,0.000379,2.0,0.000758
бесследно,0.00019,2.0,0.000379
библиографический,0.00019,0.275724,5.2e-05
бизуана,0.00019,2.0,0.000379
билет,0.00019,1.30103,0.000247
бильярд,0.00019,2.0,0.000379
биржа,0.000569,1.09691,0.000624
биржевой,0.000379,1.522879,0.000577
бисмарк,0.000379,2.0,0.000758
битва,0.00019,0.537602,0.000102
благодаря,0.000569,0.468521,0.000266
благоприятный,0.000758,1.0,0.000758
бланк,0.00019,2.0,0.000379
близ,0.00019,0.769551,0.000146
близкий,0.000569,0.60206,0.000342
блик,0.00019,1.30103,0.000247
боден,0.00019,1.69897,0.000322
боевой,0.00019,0.60206,0.000114
бой,0.000758,0.677781,0.000514
болезнь,0.00019,0.958607,0.000182
болье,0.00019,2.0,0.000379
больший,0.001516,0.167491,0.000254
большинство,0.001706,0.376751,0.000643
большой,0.000948,0.259637,0.000246
бомба,0.000379,1.221849,0.000463
бонапарт,0.000379,1.522879,0.000577
бонапартист,0.000569,2.0,0.001137
бонапартистский,0.000379,2.0,0.000758
бонт,0.00019,2.0,0.000379
бордо,0.000948,2.0,0.001895
бордосский,0.00019,2.0,0.000379
бороться,0.00019,1.0,0.00019
борьба,0.001895,0.420216,0.000796
боязнь,0.00019,2.0,0.000379
бояться,0.00019,1.09691,0.000208
брат,0.00019,0.657577,0.000125
братство,0.00019,1.522879,0.000289
бриссон,0.00019,2.0,0.000379
британский,0.00019,0.356547,6.8e-05
брокгауз,0.000379,0.657577,0.000249
бролие,0.00019,2.0,0.000379
бронзовый,0.00019,1.30103,0.000247
бросаться,0.00019,1.522879,0.000289
бросить,0.000379,1.522879,0.000577
будущий,0.000379,0.657577,0.000249
буланже,0.001706,2.0,0.003412
буланжизм,0.00019,2.0,0.000379
буланжист,0.000569,2.0,0.001137
бумага,0.000758,1.0,0.000758
бурбон,0.000379,2.0,0.000758
буржуазия,0.000948,1.69897,0.00161
бурский,0.00019,1.39794,0.000265
бывший,0.000758,0.356547,0.00027
быстро,0.000569,0.657577,0.000374
быстрый,0.000379,0.69897,0.000265
быть,0.000758,0.337242,0.000256
бюджет,0.000569,0.769551,0.000438
бюрдый,0.00019,2.0,0.000379
бюрократия,0.00019,2.0,0.000379
бюффа,0.00019,2.0,0.000379
вагон,0.00019,1.154902,0.000219
ваддингтон,0.00019,2.0,0.000379
важный,0.000379,0.443697,0.000168
вайян,0.00019,2.0,0.000379
валуа,0.00019,1.522879,0.000289
вальдек,0.000758,2.0,0.001516
вальян,0.00019,2.0,0.000379
вандомский,0.00019,2.0,0.000379
ввести,0.001516,0.376751,0.000571
ввиду,0.000948,1.09691,0.00104
ввозить,0.000379,1.39794,0.00053
вдохновитель,0.00019,2.0,0.000379
ведать,0.00019,2.0,0.000379
ведение,0.000379,0.744727,0.000282
вейсенбург,0.00019,2.0,0.000379
век,0.000569,0.173925,9.9e-05
вексель,0.000569,2.0,0.001137
вели,0.00019,1.154902,0.000219
