Term,TF,IDF,TF-IDF
абдул,0.000264,1.221849,0.000322
абдулкерим,6.6e-05,1.69897,0.000112
абердин,0.000132,1.522879,0.000201
або,6.6e-05,1.522879,0.0001
абордаж,6.6e-05,1.69897,0.000112
абсолютизм,6.6e-05,1.522879,0.0001
абсолютно,6.6e-05,1.30103,8.6e-05
абхазия,0.000396,0.958607,0.000379
абхазский,6.6e-05,1.69897,0.000112
август,0.003099,0.173925,0.000539
авпереть,6.6e-05,1.69897,0.000112
аврора,6.6e-05,1.221849,8.1e-05
австриец,6.6e-05,1.69897,0.000112
австрийский,0.000857,0.744727,0.000638
австрия,0.002506,0.60206,0.001509
австро,0.000198,1.0,0.000198
автономия,6.6e-05,1.045757,6.9e-05
автономный,0.000198,0.744727,0.000147
автор,0.000198,0.387216,7.7e-05
авторство,6.6e-05,0.040959,3e-06
агамемнон,6.6e-05,1.69897,0.000112
агрессия,0.000132,0.958607,0.000126
адмирал,0.000791,0.853872,0.000676
адмиралтейство,6.6e-05,1.221849,8.1e-05
адрес,6.6e-05,0.657577,4.3e-05
адрианопольский,0.00033,1.522879,0.000502
адъютант,6.6e-05,1.30103,8.6e-05
адыг,6.6e-05,1.69897,0.000112
азиатский,0.00033,0.958607,0.000316
азия,0.000791,0.60206,0.000476
азов,6.6e-05,1.30103,8.6e-05
азовский,0.000725,1.30103,0.000944
айвазовский,0.000198,1.69897,0.000336
айрапет,6.6e-05,1.69897,0.000112
акад,6.6e-05,1.522879,0.0001
академик,6.6e-05,0.853872,5.6e-05
академия,6.6e-05,0.79588,5.2e-05
акр,6.6e-05,1.30103,8.6e-05
акт,6.6e-05,0.769551,5.1e-05
активный,0.00033,0.60206,0.000199
акционер,6.6e-05,1.30103,8.6e-05
аландский,0.000528,1.39794,0.000738
алгоритм,0.000132,0.920819,0.000121
александр,0.000923,0.443697,0.00041
александровский,0.000132,1.522879,0.000201
алексей,6.6e-05,0.585027,3.9e-05
алжир,6.6e-05,1.221849,8.1e-05
алжирский,0.000132,1.154902,0.000152
али,0.000462,0.769551,0.000355
аллен,6.6e-05,1.30103,8.6e-05
алматы,6.6e-05,1.39794,9.2e-05
алтарь,6.6e-05,1.69897,0.000112
альма,6.6e-05,1.522879,0.0001
альме,6.6e-05,1.522879,0.0001
альфред,6.6e-05,1.221849,8.1e-05
альянс,0.000132,1.09691,0.000145
аляска,0.000198,1.39794,0.000277
америка,0.000857,0.49485,0.000424
американский,0.00033,0.337242,0.000111
америкать,6.6e-05,1.30103,8.6e-05
амин,6.6e-05,1.522879,0.0001
амур,0.000528,1.221849,0.000645
амурский,0.000264,1.30103,0.000343
амфитрид,6.6e-05,1.69897,0.000112
аналогичный,6.6e-05,0.69897,4.6e-05
анапа,0.000396,1.69897,0.000672
анапский,6.6e-05,1.69897,0.000112
англ,0.000528,0.200659,0.000106
английский,0.002836,0.408935,0.00116
англичанин,0.000528,0.958607,0.000506
англия,0.003231,0.638272,0.002062
ангнуть,0.003825,0.823909,0.003151
андий,6.6e-05,1.522879,0.0001
андромах,6.6e-05,1.69897,0.000112
андроник,6.6e-05,1.69897,0.000112
аничков,0.000264,1.69897,0.000448
аннексионистский,6.6e-05,1.69897,0.000112
аннексия,0.000132,0.886057,0.000117
антенор,6.6e-05,1.69897,0.000112
антивоенный,6.6e-05,1.39794,9.2e-05
антизападный,0.000132,1.69897,0.000224
антиква,0.000198,1.69897,0.000336
антирента,6.6e-05,1.522879,0.0001
антироссийский,0.000594,1.30103,0.000772
античность,6.6e-05,1.221849,8.1e-05
апельсиновый,6.6e-05,1.39794,9.2e-05
апостол,6.6e-05,1.154902,7.6e-05
аппарат,6.6e-05,0.853872,5.6e-05
апрель,0.001121,0.136677,0.000153
арабат,6.6e-05,1.69897,0.000112
арабатский,0.000132,1.69897,0.000224
арабский,6.6e-05,0.638272,4.2e-05
арауканий,6.6e-05,1.522879,0.0001
аргентина,6.6e-05,0.823909,5.4e-05
аргентино,6.6e-05,1.522879,0.0001
аргентинский,6.6e-05,0.958607,6.3e-05
аргонавт,0.000198,1.69897,0.000336
ардаган,0.000132,1.69897,0.000224
арена,6.6e-05,0.920819,6.1e-05
арест,6.6e-05,0.886057,5.8e-05
арикар,6.6e-05,1.522879,0.0001
армейский,0.000132,1.0,0.000132
армения,6.6e-05,0.79588,5.2e-05
армия,0.003627,0.39794,0.001443
арно,0.000132,1.69897,0.000224
арсенал,0.000462,1.154902,0.000533
арсис,6.6e-05,1.69897,0.000112
артиллерийский,0.00033,1.09691,0.000362
артиллерия,0.000923,1.221849,0.001128
арустукский,6.6e-05,1.522879,0.0001
архангельск,0.000132,1.30103,0.000172
архангельский,6.6e-05,1.39794,9.2e-05
археографический,6.6e-05,1.39794,9.2e-05
археола,6.6e-05,1.69897,0.000112
архив,0.000659,0.443697,0.000293
архивировать,0.003495,0.124939,0.000437
архивный,0.002176,0.236572,0.000515
архипелаг,6.6e-05,1.39794,9.2e-05
аскольд,6.6e-05,1.69897,0.000112
аспект,0.000198,0.853872,0.000169
ассамблея,6.6e-05,0.823909,5.4e-05
асср,6.6e-05,1.221849,8.1e-05
аста,0.000132,1.0,0.000132
астероид,0.000132,1.39794,0.000184
астрель,6.6e-05,1.39794,9.2e-05
астроном,0.000264,1.154902,0.000305
атака,0.000462,0.853872,0.000394
атаковать,0.000198,1.09691,0.000217
аудиенция,6.6e-05,1.522879,0.0001
афганистан,6.6e-05,0.69897,4.6e-05
афганский,0.000264,0.823909,0.000217
африканистика,6.6e-05,1.69897,0.000112
ахалций,6.6e-05,1.69897,0.000112
ахалцикский,6.6e-05,1.69897,0.000112
ахать,0.000132,1.39794,0.000184
аэропорт,6.6e-05,0.853872,5.6e-05
база,0.000462,0.522879,0.000241
байкал,6.6e-05,1.69897,0.000112
байков,6.6e-05,1.39794,9.2e-05
байтак,6.6e-05,1.522879,0.0001
балаклава,0.000594,1.522879,0.000904
балаклавский,0.000198,1.522879,0.000301
балкан,6.6e-05,1.30103,8.6e-05
балканский,0.000528,1.0,0.000528
балканы,0.000594,1.0,0.000594
балтийский,0.001319,1.221849,0.001612
балтика,0.000462,1.69897,0.000784
банкротство,6.6e-05,1.30103,8.6e-05
баннокский,0.000132,1.522879,0.000201
барага,6.6e-05,1.69897,0.000112
баренцев,0.000132,1.39794,0.000184
баркёр,6.6e-05,1.39794,9.2e-05
барон,6.6e-05,1.045757,6.9e-05
барский,6.6e-05,1.522879,0.0001
барьер,6.6e-05,1.154902,7.6e-05
басенский,6.6e-05,1.69897,0.000112
бассейн,6.6e-05,0.920819,6.1e-05
бастион,0.000132,1.39794,0.000184
батальон,0.000528,0.958607,0.000506
батарея,0.000989,1.09691,0.001085
батум,0.000132,1.69897,0.000224
баумгарт,6.6e-05,1.69897,0.000112
бахри,0.000132,1.69897,0.000224
бахчисарай,6.6e-05,1.69897,0.000112
башкадыклар,6.6e-05,1.69897,0.000112
башкадыклара,6.6e-05,1.69897,0.000112
башкирский,6.6e-05,1.522879,0.0001
баязет,0.000198,1.69897,0.000336
бдительность,6.6e-05,1.39794,9.2e-05
бебутовый,0.000132,1.69897,0.000224
без,6.6e-05,0.920819,6.1e-05
безак,6.6e-05,1.69897,0.000112
безака,6.6e-05,1.69897,0.000112
бездарный,6.6e-05,1.69897,0.000112
бездефицитный,6.6e-05,1.69897,0.000112
безнаказанно,6.6e-05,1.69897,0.000112
безопасность,6.6e-05,0.481486,3.2e-05
безразличный,0.000132,1.69897,0.000224
безрассудно,6.6e-05,1.69897,0.000112
безусловно,0.000132,1.39794,0.000184
безуспешно,0.000132,1.09691,0.000145
безуспешный,6.6e-05,1.69897,0.000112
безучастный,6.6e-05,1.69897,0.000112
бей,0.000132,1.522879,0.000201
бейрут,6.6e-05,1.221849,8.1e-05
беллона,6.6e-05,1.69897,0.000112
беллоно,6.6e-05,1.69897,0.000112
беломорский,0.000198,1.69897,0.000336
беломорье,0.000198,1.69897,0.000336
белый,0.00033,0.508638,0.000168
бельгиец,6.6e-05,1.39794,9.2e-05
бельгийский,6.6e-05,0.920819,6.1e-05
бельгийско,0.000132,1.522879,0.000201
берберийский,0.000132,1.522879,0.000201
берг,6.6e-05,1.522879,0.0001
бердянск,0.00033,1.522879,0.000502
берег,0.000791,0.638272,0.000505
береговой,0.000659,1.221849,0.000806
березино,6.6e-05,1.69897,0.000112
бержа,6.6e-05,1.69897,0.000112
берлинский,0.000198,0.958607,0.00019
берёзовский,6.6e-05,1.69897,0.000112
беседа,0.000198,1.221849,0.000242
бескорыстие,6.6e-05,1.69897,0.000112
бессарабия,0.000396,1.522879,0.000603
бессрочный,6.6e-05,1.522879,0.0001
бесчисленный,6.6e-05,1.522879,0.0001
бетси,6.6e-05,1.522879,0.0001
бешеный,0.000132,1.69897,0.000224
библиографический,6.6e-05,0.275724,1.8e-05
библиотека,6.6e-05,0.552842,3.6e-05
билет,6.6e-05,1.30103,8.6e-05
бингэма,6.6e-05,1.69897,0.000112
