Term,TF,IDF,TF-IDF
абхазия,0.002555,0.958607,0.00245
август,0.017462,0.173925,0.003037
аврора,0.000852,1.221849,0.001041
австралия,0.000852,0.853872,0.000727
австрия,0.000852,0.60206,0.000513
автоматический,0.000426,0.769551,0.000328
автомобиль,0.000426,0.79588,0.000339
авторство,0.000426,0.040959,1.7e-05
агентство,0.000852,0.721246,0.000614
администрация,0.000426,0.721246,0.000307
айкинс,0.000426,2.0,0.000852
активист,0.000426,1.522879,0.000649
акция,0.001278,0.744727,0.000952
алкоголь,0.000426,1.522879,0.000649
алкогольный,0.000426,1.522879,0.000649
алма,0.000852,1.30103,0.001108
алматы,0.000426,1.39794,0.000595
амеля,0.000426,2.0,0.000852
американец,0.000426,0.79588,0.000339
американский,0.000852,0.337242,0.000287
англ,0.000852,0.200659,0.000171
англия,0.000426,0.638272,0.000272
андрей,0.001278,0.79588,0.001017
андрий,0.000426,2.0,0.000852
анкара,0.000426,1.221849,0.00052
аннулировать,0.000426,1.522879,0.000649
ансбах,0.000426,2.0,0.000852
антидопинговый,0.000426,2.0,0.000852
аппарат,0.000426,0.853872,0.000364
апрель,0.007666,0.136677,0.001048
аравия,0.000426,0.744727,0.000317
армия,0.000426,0.39794,0.000169
арройо,0.000852,2.0,0.001704
архивировать,0.031516,0.124939,0.003938
астахов,0.000852,2.0,0.001704
ата,0.000426,1.30103,0.000554
атинский,0.000426,2.0,0.000852
атлетика,0.000852,1.09691,0.000934
атлетико,0.000426,2.0,0.000852
афганистан,0.000426,0.69897,0.000298
афганский,0.000426,0.823909,0.000351
ахмет,0.000426,1.154902,0.000492
бавария,0.000426,1.30103,0.000554
байрам,0.000852,1.522879,0.001297
барьер,0.000852,1.154902,0.000984
бастилия,0.000426,1.69897,0.000724
батарея,0.000426,1.09691,0.000467
бег,0.000426,1.39794,0.000595
беженец,0.000852,1.221849,0.001041
беловик,0.000426,2.0,0.000852
белоруссия,0.000852,0.769551,0.000655
бельянин,0.000852,2.0,0.001704
бельянинов,0.000426,2.0,0.000852
бенгальский,0.000852,1.221849,0.001041
бес,0.000426,2.0,0.000852
беспорядок,0.001278,1.09691,0.001402
