Term,TF,IDF,TF-IDF
австралийский,0.001395,3.912023,0.002646
австралия,0.002092,2.813411,0.004113
австрийский,0.002789,0.040822,0.004783
автоматически,0.001395,3.218876,0.003358
авторство,0.000697,4.60517,6.6e-05
адрес,0.001395,2.120264,0.002112
адриатический,0.000697,1.347074,0.002245
академия,0.000697,2.407946,0.001278
аккаунт,0.002092,2.040221,0.005886
актёр,0.000697,1.514128,0.001122
александрина,0.000697,3.506558,0.003211
альбом,0.000697,1.171183,0.001679
амфр,0.000697,2.65926,0.003211
анадолу,0.000697,4.60517,0.002728
аниматор,0.001395,3.506558,0.004178
апостольский,0.000697,1.832581,0.002728
арбитр,0.000697,0.867501,0.003211
аргентина,0.000697,1.514128,0.001323
аргументированный,0.000697,1.07881,0.003211
артхив,0.000697,2.302585,0.003211
архив,0.002092,2.120264,0.002137
ассоциация,0.005579,0.891598,0.011382
атлетика,0.002789,3.506558,0.007045
аудио,0.002092,1.832581,0.004817
ахл,0.000697,2.040221,0.002728
база,0.000697,3.912023,0.00084
бактерия,0.000697,4.60517,0.002445
баскетбол,0.000697,1.560648,0.002089
башкирский,0.000697,1.203973,0.002445
бейсбол,0.000697,0.072571,0.003211
бельгийский,0.000697,0.798508,0.001479
берег,0.000697,4.60517,0.001025
березин,0.000697,1.203973,0.003211
биатлон,0.001395,1.021651,0.004178
библейский,0.000697,3.218876,0.001962
библиографический,0.004184,1.714798,0.002656
библиотека,0.017434,2.995732,0.022193
билли,0.000697,0.051293,0.003211
био,0.000697,3.912023,0.002245
биографический,0.009763,0.072571,0.038193
биография,0.000697,3.506558,0.001278
блок,0.000697,1.966113,0.001088
богословский,0.000697,0.967584,0.002445
больший,0.006276,1.469676,0.00242
бомбардир,0.000697,3.506558,0.003211
борьба,0.000697,3.912023,0.000675
ботанический,0.000697,4.60517,0.002728
бразилия,0.000697,4.60517,0.001606
браться,0.001395,0.01005,0.004178
британский,0.000697,1.832581,0.000573
брокгауз,0.002092,1.560648,0.003168
бундеслига,0.000697,1.560648,0.002728
валлийский,0.000697,0.020203,0.002728
ватиканский,0.000697,4.60517,0.002728
ведомость,0.000697,2.407946,0.001539
век,0.000697,0.916291,0.000279
великобритания,0.000697,1.347074,0.000657
венгерский,0.000697,3.912023,0.001323
венгрия,0.000697,1.07881,0.000995
версия,0.002092,0.400478,0.000107
верховный,0.000697,4.60517,0.000939
вид,0.002092,1.771957,0.001368
видео,0.002789,3.912023,0.004943
видеоальбом,0.000697,3.912023,0.003211
видеохостинг,0.001395,3.218876,0.006423
видный,0.000697,2.813411,0.001371
визуально,0.001395,1.427116,0.005456
викидать,0.01046,2.207275,0.000872
викимедиа,0.000697,0.150823,6.6e-05
википедия,0.002789,2.995732,0.000202
викискладмет,0.000697,2.995732,0.003211
вирус,0.000697,4.60517,0.001679
вконтакте,0.000697,2.302585,0.002089
вместе,0.001395,2.207275,0.001349
внести,0.000697,2.407946,0.001196
внешний,0.004881,3.218876,0.001955
вносить,0.000697,3.506558,0.001606
водный,0.000697,2.207275,0.001479
военный,0.000697,0.040822,0.000368
возможный,0.001395,3.506558,0.001505
возражение,0.000697,0.020203,0.002089
вокалист,0.000697,1.514128,0.002445
воспользоваться,0.000697,1.237874,0.001158
всемирный,0.002092,3.506558,0.002663
всё,0.000697,2.813411,0.00029
втб,0.000697,2.407946,0.002728
выводиться,0.000697,1.660731,0.002445
выглядеть,0.000697,4.60517,0.001196
гаджет,0.002789,0.34249,0.009781
газета,0.000697,0.400478,0.000639
галочка,0.000697,0.733969,0.003211
гандбольный,0.000697,3.912023,0.002728
генеалогия,0.001395,2.040221,0.004489
географическо,0.000697,0.653926,0.003211
гербарий,0.000697,1.89712,0.003211
гонка,0.001395,1.966113,0.003211
гонщик,0.001395,3.506558,0.006423
гора,0.000697,2.407946,0.001158
горнолыжный,0.001395,2.813411,0.005456
государственный,0.002789,1.832581,0.001771
гранат,0.000697,2.995732,0.002728
греция,0.001395,2.120264,0.002245
гриб,0.000697,2.040221,0.002728
грузия,0.000697,0.820981,0.001371
групповой,0.001395,1.966113,0.004891
гутенберг,0.001395,1.309333,0.005456
даля,0.000697,0.083382,0.003211
данные,0.000697,2.120264,0.000497
данный,0.000697,3.218876,0.000712
датский,0.002092,0.597837,0.00245
дать,0.000697,1.272966,0.00038
двоеборье,0.000697,2.995732,0.003211
действие,0.000697,1.272966,0.000456
действовать,0.000697,1.771957,3.6e-05
декабрь,0.000697,4.60517,0.000173
декларатор,0.000697,2.65926,0.003211
делать,0.001395,0.916291,0.001349
делаться,0.000697,0.798508,0.001371
деловой,0.001395,4.60517,0.002845
день,0.000697,0.941609,0.000201
джи,0.000697,1.966113,0.003211
джина,0.000697,1.966113,0.002445
дзен,0.000697,0.755023,0.002245
диссернуть,0.002092,0.776529,0.009634
для,0.002092,1.347074,0.001328
добавить,0.005579,1.560648,0.007515
добавление,0.004184,2.995732,0.010075
добавлять,0.002092,1.89712,0.005284
документация,0.000697,0.415515,0.001854
дополнительный,0.000697,3.506558,5.8e-05
доступный,0.000697,4.60517,3.6e-05
досье,0.000697,2.525729,0.003211
древность,0.000697,0.820981,0.001423
друг,0.000697,1.609438,0.00084
другой,0.004184,3.506558,4.2e-05
дума,0.000697,3.218876,0.001423
дэвис,0.000697,1.347074,0.001606
еврейский,0.001395,3.912023,0.00205
европарламент,0.000697,2.120264,0.002445
егф,0.000697,0.84397,0.003211
единственный,0.000697,0.094311,0.000773
единый,0.000697,2.302585,0.000773
екв,0.000697,1.89712,0.003211
если,0.005579,0.776529,0.005398
ефрон,0.002092,2.995732,0.003168
ещё,0.000697,2.040221,2.8e-05
желательно,0.001395,1.427116,0.004178
живой,0.001395,1.469676,0.002392
животное,0.001395,3.218876,0.002957
журнал,0.002092,3.506558,0.002319
заглавный,0.000697,2.65926,3.6e-05
заголовок,0.001395,1.386294,0.004178
загреб,0.000697,1.832581,0.002445
зал,0.002092,1.237874,0.005038
заодно,0.000697,2.040221,0.002728
запись,0.001395,1.609438,0.00205
записьвойти,0.000697,2.207275,5.1e-05
заполнить,0.001395,2.207275,0.004178
зарегистрировать,0.000697,3.218876,5.1e-05
заявление,0.000697,1.609438,3.6e-05
звук,0.000697,0.994252,0.001854
зеландия,0.000697,1.89712,0.001479
знак,0.000697,1.347074,3.6e-05
значение,0.002789,2.525729,0.001719
значениярастение,0.000697,2.302585,0.003211
значит,0.000697,2.120264,0.001196
игра,0.004184,3.218876,0.003341
игровой,0.000697,4.60517,0.001962
игрок,0.016736,4.60517,0.053872
игромания,0.000697,2.040221,0.003211
идентификатор,0.000697,2.813411,0.001158
идти,0.001395,4.60517,0.001387
изба,0.000697,2.040221,0.002445
избежание,0.000697,4.60517,0.001679
изд,0.003487,4.60517,0.00366
изменение,0.001395,3.218876,0.001313
изменить,0.001395,2.813411,0.00205
израиль,0.000697,4.60517,0.001056
израильский,0.000697,0.755023,0.001539
именно,0.001395,4.60517,0.001313
иметь,0.001395,3.218876,0.000365
иметься,0.001395,3.912023,0.001464
империя,0.001395,3.506558,0.001464
имя,0.001395,2.407946,1.4e-05
иной,0.000697,0.544727,0.000573
инструмент,0.001395,2.813411,8.6e-05
инструменталист,0.000697,1.108663,0.003211
информация,0.000697,2.995732,0.000497
ираник,0.000697,4.60517,0.002728
исключение,0.000697,0.798508,0.000863
искусство,0.001395,2.207275,0.001145
ислам,0.002092,1.203973,0.003587
исламский,0.000697,3.506558,0.001122
исландия,0.000697,0.867501,0.001606
