Term,TF,IDF,TF-IDF
август,0.004371,1.469676,0.00175
автоматический,0.000874,2.120264,0.001549
автор,0.001748,1.07881,0.001559
авторство,0.000874,1.609438,8.2e-05
администрация,0.000874,4.60517,0.001452
активист,0.003497,4.60517,0.012261
активно,0.000874,0.891598,0.001178
активность,0.000874,1.427116,0.002619
активный,0.001748,0.967584,0.002424
акцент,0.000874,0.733969,0.00342
акция,0.000874,1.660731,0.001499
алфавитупро,0.000874,2.207275,0.002013
алфавитусайт,0.000874,0.733969,0.003065
американец,0.000874,2.040221,0.001602
аналогия,0.000874,1.966113,0.002325
англ,0.01486,0.941609,0.006866
английский,0.000874,3.912023,0.000823
англоязычный,0.000874,2.120264,0.002459
анонсировать,0.000874,2.302585,0.002013
апрель,0.008741,3.218876,0.002751
армент,0.001748,1.427116,0.008051
архив,0.000874,3.912023,0.000893
архивировать,0.023601,0.020203,0.00679
архивный,0.000874,1.203973,0.000476
аудио,0.000874,2.813411,0.002013
афро,0.000874,2.65926,0.004025
безобидный,0.000874,4.60517,0.004025
безопасный,0.000874,2.525729,0.001783
бессмысленный,0.000874,4.60517,0.00342
библиографический,0.000874,1.469676,0.000555
блог,0.009615,1.386294,0.027052
блогер,0.000874,2.995732,0.002814
блокировать,0.001748,2.120264,0.003567
больший,0.000874,0.755023,0.000337
борец,0.000874,1.07881,0.002619
бот,0.000874,3.218876,0.002459
быть,0.001748,2.813411,0.001358
ваш,0.000874,1.832581,0.001549
ввиду,0.000874,4.60517,0.002208
веб,0.000874,3.912023,0.001549
веббискрытый,0.000874,0.967584,0.004025
версия,0.005245,0.040822,0.000269
вести,0.000874,0.020203,0.001113
весь,0.001748,2.813411,0.000922
взрослый,0.000874,1.514128,0.002325
вид,0.000874,1.139434,0.000572
видео,0.006993,0.776529,0.012391
викидать,0.000874,1.89712,7.3e-05
викимедиа,0.000874,3.506558,8.2e-05
википедия,0.005245,3.218876,0.000381
викисклад,0.002622,0.891598,0.000754
включать,0.000874,3.912023,0.000969
включая,0.000874,3.218876,0.000996
вконтакте,0.000874,1.171183,0.002619
владелец,0.003497,1.07881,0.007718
внешний,0.000874,2.302585,0.00035
возможность,0.000874,3.506558,0.000718
войти,0.000874,3.218876,0.000969
вопрос,0.000874,2.995732,0.000539
время,0.002622,0.400478,0.000396
встраивать,0.001748,0.094311,0.005237
выйти,0.000874,0.478036,0.000869
выносить,0.001748,1.89712,0.005237
выпустить,0.000874,0.072571,0.001364
высокий,0.000874,1.108663,0.000606
выступить,0.000874,2.813411,0.001499
выходить,0.000874,1.427116,0.001247
гарретт,0.000874,2.995732,0.004025
генеральный,0.000874,2.813411,0.001024
гетеронормативность,0.000874,0.415515,0.004025
главный,0.001748,0.776529,0.001283
год,0.031469,4.60517,0.000636
годустатья,0.000874,0.083382,0.002814
группа,0.001748,2.813411,0.001247
давать,0.000874,2.525729,0.000996
давно,0.000874,2.207275,0.002013
данные,0.000874,1.966113,0.000624
дата,0.021853,1.560648,0.002794
два,0.000874,1.021651,0.000418
движение,0.000874,1.966113,0.000758
действовать,0.000874,4.60517,4.5e-05
декабрь,0.009615,1.514128,0.002389
делать,0.001748,1.049822,0.001692
демонстрировать,0.000874,2.65926,0.002105
детский,0.000874,1.272966,0.001549
джефф,0.001748,1.89712,0.008051
директор,0.000874,3.912023,0.001452
добавить,0.000874,1.427116,0.001178
довольно,0.000874,0.891598,0.001499
доллар,0.000874,0.916291,0.001364
дополнительный,0.000874,4.60517,7.3e-05
дорого,0.000874,2.040221,0.00342
достижение,0.001748,3.218876,0.003437
доступно,0.000874,3.506558,0.002814
доступный,0.001748,2.995732,9e-05
другой,0.005245,3.506558,5.3e-05
