Term,TF,IDF,TF-IDF
август,0.003325,0.173925,0.000578
авиакатастрофа,0.001663,1.221849,0.002031
авиация,0.000831,0.744727,0.000619
автограф,0.000831,1.09691,0.000912
автомагистраль,0.000831,1.30103,0.001081
авторство,0.000831,0.040959,3.4e-05
агентство,0.000831,0.721246,0.0006
актриса,0.000831,0.823909,0.000685
алабама,0.000831,1.39794,0.001162
алфавит,0.000831,0.886057,0.000737
алфавитуродившийся,0.000831,1.39794,0.001162
альянс,0.000831,1.09691,0.000912
американский,0.002494,0.337242,0.000841
амра,0.000831,2.0,0.001663
амхерстский,0.000831,2.0,0.001663
англ,0.001663,0.200659,0.000334
англиикеннедиджон,0.000831,2.0,0.001663
англиканин,0.000831,1.69897,0.001412
англиканский,0.000831,1.522879,0.001266
англия,0.000831,0.638272,0.000531
анджелес,0.000831,1.09691,0.000912
аполлон,0.000831,2.0,0.001663
артур,0.000831,1.30103,0.001081
архивировать,0.000831,0.124939,0.000104
аудио,0.000831,1.0,0.000831
аэропорт,0.000831,0.853872,0.00071
барнстаблвыпускник,0.000831,2.0,0.001663
барнстэбла,0.000831,2.0,0.001663
белый,0.000831,0.508638,0.000423
беременность,0.000831,2.0,0.001663
берлинец,0.000831,2.0,0.001663
берлинский,0.000831,0.958607,0.000797
библиографический,0.000831,0.275724,0.000229
библиография,0.000831,1.39794,0.001162
библиотека,0.000831,0.552842,0.00046
биография,0.000831,0.79588,0.000662
биук,0.000831,2.0,0.001663
благотворительный,0.000831,1.39794,0.001162
блюмедаала,0.000831,2.0,0.001663
больший,0.001663,0.167491,0.000278
бостон,0.003325,1.39794,0.004648
бостонеумереть,0.000831,2.0,0.001663
бостонский,0.002494,1.69897,0.004237
брак,0.000831,0.823909,0.000685
брат,0.002494,0.657577,0.00164
бруклинский,0.000831,2.0,0.001663
бувие,0.001663,2.0,0.003325
бывший,0.000831,0.356547,0.000296
быть,0.001663,0.337242,0.000561
вашингтон,0.000831,0.886057,0.000737
ввс,0.000831,1.045757,0.000869
вдовый,0.000831,2.0,0.001663
венский,0.000831,1.0,0.000831
вернуться,0.001663,0.69897,0.001162
версия,0.000831,0.022276,1.9e-05
верховный,0.000831,0.585027,0.000486
вечный,0.000831,1.221849,0.001016
взорваться,0.000831,1.30103,0.001081
видео,0.000831,0.769551,0.00064
викиданныхвикипедия,0.000831,1.154902,0.00096
викидать,0.001663,0.036212,6e-05
викимедиа,0.000831,0.040959,3.4e-05
википедия,0.004988,0.031517,0.000157
викисклад,0.001663,0.124939,0.000208
влиятельный,0.000831,1.0,0.000831
внешний,0.001663,0.173925,0.000289
внимание,0.000831,0.657577,0.000547
внук,0.000831,1.154902,0.00096
внутренний,0.000831,0.366532,0.000305
внучка,0.001663,2.0,0.003325
военный,0.000831,0.229148,0.00019
возглавлять,0.000831,0.823909,0.000685
воздух,0.000831,0.853872,0.00071
возможность,0.000831,0.356547,0.000296
возраст,0.000831,0.744727,0.000619
воинский,0.000831,0.920819,0.000765
война,0.001663,0.19382,0.000322
волшебный,0.000831,0.327902,0.000273
вооружение,0.000831,0.823909,0.000685
восстановить,0.000831,0.60206,0.0005
восьмой,0.000831,1.221849,0.001016
впоследствии,0.000831,0.69897,0.000581
всадник,0.000831,1.39794,0.001162
второй,0.000831,0.173925,0.000145
выборы,0.003325,0.420216,0.001397
выбрать,0.000831,0.522879,0.000435
выдающийся,0.000831,0.958607,0.000797
выйти,0.000831,0.431798,0.000359
высадка,0.001663,1.045757,0.001739
высказаться,0.000831,0.886057,0.000737
высокопоставленный,0.000831,1.522879,0.001266
выступление,0.001663,0.958607,0.001594
вьетнам,0.000831,0.69897,0.000581
вээлс,0.000831,2.0,0.001663
гарвардский,0.000831,1.69897,0.001412
гас,0.000831,2.0,0.001663
генеалогия,0.000831,1.39794,0.001162
генеральный,0.000831,0.508638,0.000423
герцог,0.000831,1.0,0.000831
гибель,0.000831,1.0,0.000831
гибкий,0.000831,1.221849,0.001016
глория,0.000831,1.522879,0.001266
год,0.0133,0.008774,0.000117
годуперсоналия,0.000831,1.522879,0.001266
годуумерший,0.000831,1.221849,0.001016
голландский,0.000831,1.09691,0.000912
город,0.001663,0.236572,0.000393
городской,0.000831,0.60206,0.0005
горячий,0.000831,1.09691,0.000912
гражданский,0.001663,0.468521,0.000779
граф,0.000831,0.823909,0.000685
графиня,0.000831,2.0,0.001663
даллас,0.000831,1.522879,0.001266
далласский,0.000831,2.0,0.001663
дата,0.002494,0.055517,0.000138
дважды,0.000831,1.045757,0.000869
дебаты,0.000831,1.30103,0.001081
девоншире,0.000831,2.0,0.001663
девонширский,0.000831,2.0,0.001663
девять,0.002494,0.886057,0.00221
дедушка,0.001663,2.0,0.003325
действие,0.000831,0.283997,0.000236
действовать,0.000831,0.022276,1.9e-05
демократический,0.003325,0.552842,0.001838
день,0.001663,0.124939,0.000208
депутат,0.000831,0.677781,0.000563
детство,0.000831,1.39794,0.001162
джек,0.000831,0.79588,0.000662
джина,0.002494,1.522879,0.003798
джозеф,0.00665,0.958607,0.006375
джозефина,0.000831,2.0,0.001663
джон,0.015794,0.60206,0.009509
джонсон,0.000831,1.0,0.000831
дневный,0.000831,1.045757,0.000869
днейвикипедия,0.000831,0.823909,0.000685
договор,0.000831,0.49485,0.000411
доклад,0.000831,0.958607,0.000797
доктрина,0.001663,1.221849,0.002031
документальный,0.000831,1.09691,0.000912
долгожительница,0.000831,2.0,0.001663
должный,0.000831,0.21467,0.000178
дом,0.001663,0.39794,0.000662
дополнительный,0.000831,0.036212,3e-05
дорчестер,0.000831,2.0,0.001663
дорчестерский,0.000831,2.0,0.001663
достаток,0.000831,2.0,0.001663
достижение,0.000831,0.853872,0.00071
доступный,0.000831,0.022276,1.9e-05
дочь,0.003325,0.79588,0.002646
другой,0.002494,0.004365,1.1e-05
дуайт,0.000831,1.69897,0.001412
дура,0.000831,1.69897,0.001412
если,0.000831,0.420216,0.000349
естественный,0.002494,0.886057,0.00221
ещё,0.000831,0.017729,1.5e-05
жаклин,0.000831,2.0,0.001663
желудок,0.000831,1.69897,0.001412
жена,0.003325,0.853872,0.002839
жених,0.000831,1.39794,0.001162
женщина,0.000831,0.522879,0.000435
жизнь,0.003325,0.327902,0.00109
жилищный,0.000831,1.39794,0.001162
жильё,0.000831,1.154902,0.00096
жить,0.000831,0.552842,0.00046
забета,0.000831,2.0,0.001663
заглавный,0.000831,0.022276,1.9e-05
закон,0.004988,0.346787,0.00173
закончить,0.000831,0.823909,0.000685
залив,0.000831,0.69897,0.000581
замуж,0.000831,1.522879,0.001266
замужем,0.000831,1.522879,0.001266
замужество,0.001663,2.0,0.003325
занимать,0.000831,0.508638,0.000423
записьвойти,0.000831,0.031517,2.6e-05
запрет,0.000831,0.79588,0.000662
запрещение,0.000831,1.30103,0.001081
зарегистрировать,0.000831,0.031517,2.6e-05
застрелить,0.000831,1.154902,0.00096
заявление,0.000831,0.022276,1.9e-05
звонок,0.000831,1.69897,0.001412
здание,0.000831,0.619789,0.000515
здоровье,0.000831,1.045757,0.000869
знак,0.000831,0.022276,1.9e-05
знать,0.001663,0.638272,0.001061
игра,0.001663,0.346787,0.000577
избиратель,0.000831,1.154902,0.00096
известный,0.002494,0.283997,0.000708
изображение,0.001663,0.481486,0.0008
иммигрант,0.000831,1.30103,0.001081
имя,0.005819,0.004365,2.5e-05
инаугурационный,0.000831,2.0,0.001663
инаугурация,0.000831,1.69897,0.001412
инвалид,0.000831,1.522879,0.001266
иностранный,0.001663,0.508638,0.000846
инструмент,0.001663,0.026872,4.5e-05
интеграция,0.000831,0.823909,0.000685
ирландия,0.000831,0.853872,0.00071
искусство,0.002494,0.356547,0.000889
исполнительский,0.000831,1.69897,0.001412
использование,0.000831,0.008774,7e-06
