Term,TF,IDF,TF-IDF
авторство,0.000789,0.040959,3.2e-05
агент,0.000789,1.09691,0.000866
адам,0.000789,0.920819,0.000727
адамс,0.000789,1.221849,0.000964
айриня,0.000789,2.0,0.001579
актриса,0.004736,0.823909,0.003902
актёрский,0.002368,1.522879,0.003606
алабама,0.002368,1.39794,0.00331
алан,0.000789,0.823909,0.00065
аллен,0.000789,1.30103,0.001027
алфавитуактриса,0.000789,2.0,0.001579
алфавитуродившийся,0.000789,1.39794,0.001103
американский,0.000789,0.337242,0.000266
англ,0.002368,0.200659,0.000475
анджела,0.000789,1.39794,0.001103
анджелес,0.000789,1.09691,0.000866
анджелина,0.000789,2.0,0.001579
андра,0.000789,2.0,0.001579
анна,0.002368,0.769551,0.001822
аннетта,0.000789,2.0,0.001579
анук,0.001579,2.0,0.003157
арифметика,0.000789,1.69897,0.001341
арк,0.000789,2.0,0.001579
арнона,0.000789,2.0,0.001579
архивный,0.001579,0.236572,0.000373
аудио,0.000789,1.0,0.000789
бабушка,0.003157,1.69897,0.005364
барбара,0.000789,1.69897,0.001341
барбра,0.000789,2.0,0.001579
бассетта,0.000789,2.0,0.001579
без,0.000789,0.920819,0.000727
бейтс,0.001579,2.0,0.003157
беккер,0.000789,2.0,0.001579
белля,0.000789,1.69897,0.001341
бель,0.000789,1.69897,0.001341
бенджамин,0.000789,1.39794,0.001103
бенинга,0.000789,2.0,0.001579
бентон,0.000789,2.0,0.001579
бергман,0.003157,2.0,0.006314
беспредел,0.000789,2.0,0.001579
бесстыжий,0.000789,2.0,0.001579
бетси,0.000789,1.522879,0.001202
библиографический,0.000789,0.275724,0.000218
бик,0.001579,2.0,0.003157
бикома,0.000789,2.0,0.001579
биография,0.001579,0.79588,0.001256
бирмингем,0.002368,1.522879,0.003606
благодаря,0.001579,0.468521,0.00074
блайта,0.000789,2.0,0.001579
бланшетта,0.004736,2.0,0.009471
блетина,0.001579,2.0,0.003157
блум,0.000789,2.0,0.001579
блэнчард,0.000789,2.0,0.001579
блэр,0.000789,2.0,0.001579
большой,0.000789,0.259637,0.000205
бонний,0.000789,1.522879,0.001202
борхерс,0.000789,2.0,0.001579
брайан,0.000789,1.0,0.000789
брак,0.000789,0.823909,0.00065
браун,0.000789,1.522879,0.001202
бренд,0.001579,1.39794,0.002207
бри,0.001579,1.30103,0.002054
будка,0.000789,2.0,0.001579
буллка,0.002368,2.0,0.004736
бут,0.000789,2.0,0.001579
бывать,0.000789,1.0,0.000789
бэнкрофт,0.003946,2.0,0.007893
бэрримор,0.000789,2.0,0.001579
бюжо,0.000789,2.0,0.001579
бёрстина,0.002368,2.0,0.004736
ванесса,0.000789,2.0,0.001579
векалауреат,0.000789,2.0,0.001579
версия,0.000789,0.022276,1.8e-05
вечер,0.000789,1.522879,0.001202
взгляд,0.000789,0.823909,0.00065
вивьен,0.000789,2.0,0.001579
видео,0.000789,0.769551,0.000607
викиданныхвикипедия,0.000789,1.154902,0.000912
викидать,0.000789,0.036212,2.9e-05
викимедиа,0.000789,0.040959,3.2e-05
википедия,0.003946,0.031517,0.000124
викисклад,0.001579,0.124939,0.000197
винна,0.000789,2.0,0.001579
вирджиния,0.001579,1.39794,0.002207
виртуальность,0.000789,2.0,0.001579
виртуальный,0.000789,0.920819,0.000727
владелица,0.000789,2.0,0.001579
властный,0.000789,1.69897,0.001341
внешний,0.000789,0.173925,0.000137
возвращение,0.000789,0.677781,0.000535
возобновить,0.000789,1.154902,0.000912
возраст,0.001579,0.744727,0.001176
вор,0.000789,2.0,0.001579
воспитание,0.000789,1.522879,0.001202
воспламенять,0.000789,2.0,0.001579
впервые,0.001579,0.337242,0.000532
время,0.000789,0.065502,5.2e-05
вручение,0.000789,1.09691,0.000866
вторжение,0.000789,0.69897,0.000552
вудворда,0.002368,1.522879,0.003606
вупить,0.000789,2.0,0.001579
выглядеть,0.000789,0.744727,0.000588
выйти,0.000789,0.431798,0.000341
высокий,0.000789,0.30103,0.000238
вэл,0.000789,2.0,0.001579
гадот,0.000789,2.0,0.001579
галлагер,0.000789,2.0,0.001579
галь,0.000789,2.0,0.001579
гамильтон,0.000789,2.0,0.001579
гарсон,0.000789,2.0,0.001579
гейнора,0.000789,2.0,0.001579
генеалогия,0.000789,1.39794,0.001103
гленд,0.002368,2.0,0.004736
гленна,0.000789,1.69897,0.001341
гленний,0.000789,2.0,0.001579
глобус,0.003157,1.045757,0.003302
глория,0.001579,1.522879,0.002404
глубокий,0.000789,0.769551,0.000607
глухой,0.000789,1.522879,0.001202
глухонемой,0.000789,2.0,0.001579
глэдис,0.000789,2.0,0.001579
глэдстоун,0.000789,2.0,0.001579
гнездо,0.004736,1.154902,0.005469
говорить,0.000789,0.60206,0.000475
год,0.007103,0.008774,6.2e-05
годуперсоналия,0.000789,1.522879,0.001202
годуумерший,0.000789,1.221849,0.000964
голдберг,0.000789,2.0,0.001579
голова,0.000789,0.886057,0.000699
голубой,0.000789,1.09691,0.000866
гордон,0.000789,1.045757,0.000825
госсетта,0.000789,2.0,0.001579
гостиница,0.001579,1.221849,0.001929
гражданство,0.000789,1.045757,0.000825
грейс,0.001579,2.0,0.003157
грейти,0.000789,2.0,0.001579
греховный,0.000789,2.0,0.001579
грир,0.000789,1.69897,0.001341
гудвино,0.000789,2.0,0.001579
дайана,0.001579,1.522879,0.002404
дама,0.000789,1.69897,0.001341
данауэй,0.001579,2.0,0.003157
даннер,0.000789,2.0,0.001579
данст,0.000789,2.0,0.001579
дата,0.001579,0.055517,8.8e-05
датский,0.000789,0.508638,0.000401
два,0.002368,0.207608,0.000492
двое,0.000789,1.045757,0.000825
действовать,0.000789,0.022276,1.8e-05
делонгпра,0.001579,2.0,0.003157
деметь,0.000789,2.0,0.001579
денч,0.002368,2.0,0.004736
день,0.000789,0.124939,9.9e-05
департамент,0.000789,0.920819,0.000727
десять,0.000789,0.920819,0.000727
детектив,0.000789,1.522879,0.001202
дешёвый,0.000789,1.09691,0.000866
дея,0.000789,2.0,0.001579
джеймс,0.000789,0.552842,0.000436
джейн,0.007103,1.30103,0.009242
джексон,0.002368,1.39794,0.00331
дженнифер,0.001579,1.69897,0.002682
дженять,0.001579,1.39794,0.002207
джеральдин,0.001579,2.0,0.003157
джерри,0.000789,2.0,0.001579
джессика,0.003157,1.522879,0.004808
джина,0.002368,1.522879,0.003606
джоан,0.002368,1.221849,0.002893
джоанна,0.000789,1.522879,0.001202
джодить,0.004736,2.0,0.009471
джоля,0.000789,1.69897,0.001341
джон,0.000789,0.60206,0.000475
джонс,0.000789,1.154902,0.000912
джонсон,0.000789,1.0,0.000789
джорджиный,0.000789,2.0,0.001579
джудить,0.003157,1.69897,0.005364
джулианный,0.001579,2.0,0.003157
джулия,0.001579,1.522879,0.002404
джуля,0.003946,1.39794,0.005517
дикинсон,0.000789,2.0,0.001579
дин,0.000789,1.0,0.000789
дойло,0.001579,2.0,0.003157
доктор,0.002368,0.721246,0.001708
долина,0.000789,0.958607,0.000757
долл,0.000789,1.154902,0.000912
дом,0.001579,0.39794,0.000628
дополнительный,0.000789,0.036212,2.9e-05
дора,0.000789,2.0,0.001579
доработка,0.000789,1.69897,0.001341
дорога,0.000789,0.481486,0.00038
дороти,0.000789,2.0,0.001579
доступный,0.000789,0.022276,1.8e-05
дракула,0.001579,1.69897,0.002682
драматический,0.001579,1.154902,0.001823
другой,0.002368,0.004365,1e-05
дрю,0.000789,1.69897,0.001341
дурак,0.000789,2.0,0.001579
дьявол,0.000789,2.0,0.001579
дьявольский,0.000789,1.522879,0.001202
дэбнуть,0.000789,2.0,0.001579
дэвис,0.000789,1.0,0.000789
дэрил,0.000789,2.0,0.001579
дэшить,0.000789,2.0,0.001579
дюшо,0.000789,2.0,0.001579
ева,0.002368,1.522879,0.003606
епископальный,0.000789,2.0,0.001579
ещё,0.000789,0.017729,1.4e-05
жанна,0.001579,1.39794,0.002207
женевьев,0.000789,1.522879,0.001202
женский,0.005525,1.0,0.005525
жестокий,0.000789,1.154902,0.000912
заглавный,0.000789,0.022276,1.8e-05
задаться,0.000789,2.0,0.001579
замуж,0.000789,1.522879,0.001202
замужем,0.000789,1.522879,0.001202
записьвойти,0.000789,0.031517,2.5e-05
зарегистрировать,0.000789,0.031517,2.5e-05
застава,0.000789,1.39794,0.001103
зачастую,0.000789,0.853872,0.000674
заявление,0.000789,0.022276,1.8e-05
звёздный,0.000789,1.045757,0.000825
здорово,0.000789,2.0,0.001579
зеллвегер,0.001579,2.0,0.003157
знак,0.000789,0.022276,1.8e-05
знаменитый,0.001579,0.920819,0.001454
золотой,0.003157,0.568636,0.001795
зона,0.000789,0.60206,0.000475
зоя,0.000789,2.0,0.001579
ивонна,0.000789,2.0,0.001579
игра,0.000789,0.346787,0.000274
изабель,0.000789,1.522879,0.001202
известный,0.000789,0.283997,0.000224
извещение,0.000789,2.0,0.001579
изгонять,0.000789,2.0,0.001579
имельда,0.000789,2.0,0.001579
имя,0.001579,0.004365,7e-06
ингрид,0.002368,2.0,0.004736
иногда,0.000789,0.79588,0.000628
иностранец,0.000789,1.045757,0.000825
инструмент,0.001579,0.026872,4.2e-05
использование,0.000789,0.008774,7e-06
источник,0.001579,0.017729,2.8e-05
июль,0.002368,0.167491,0.000397
июляродиться,0.000789,1.522879,0.001202
йео,0.000789,2.0,0.001579
йорк,0.000789,0.657577,0.000519
йоханссон,0.000789,1.69897,0.001341
кай,0.000789,2.0,0.001579
карен,0.000789,1.09691,0.000866
карл,0.000789,0.721246,0.000569
каролина,0.000789,1.154902,0.000912
