Term,TF,IDF,TF-IDF
абдуллах,0.000216,2.0,0.000431
абруцци,0.000431,2.0,0.000862
абхазия,0.000862,0.958607,0.000827
август,0.010563,0.173925,0.001837
авиабаза,0.000431,1.39794,0.000603
авиакатастрофа,0.000431,1.221849,0.000527
авиаудар,0.000216,1.39794,0.000301
авиационный,0.000216,1.09691,0.000236
авиация,0.000216,0.744727,0.000161
австрия,0.000862,0.60206,0.000519
авторский,0.000216,0.886057,0.000191
авторство,0.000216,0.040959,9e-06
агентство,0.000216,0.721246,0.000155
адам,0.000216,0.920819,0.000198
аддый,0.000216,2.0,0.000431
адер,0.000431,2.0,0.000862
адресовать,0.000216,1.69897,0.000366
азербайджан,0.000647,0.769551,0.000498
азиатский,0.000862,0.958607,0.000827
акуфо,0.000216,2.0,0.000431
акция,0.000647,0.744727,0.000482
алб,0.000216,2.0,0.000431
албания,0.000431,1.09691,0.000473
александр,0.000862,0.443697,0.000383
алма,0.000216,1.30103,0.00028
алматы,0.000216,1.39794,0.000301
алфавит,0.000431,0.886057,0.000382
альянс,0.000216,1.09691,0.000236
америка,0.000431,0.49485,0.000213
американец,0.000216,0.79588,0.000172
американский,0.000431,0.337242,0.000145
аналог,0.000431,1.0,0.000431
анатолий,0.000862,0.744727,0.000642
ангар,0.000216,2.0,0.000431
англ,0.004311,0.200659,0.000865
анджелес,0.000431,1.09691,0.000473
андрей,0.000216,0.79588,0.000172
аниме,0.000216,1.09691,0.000236
антикоррупционный,0.000216,2.0,0.000431
антон,0.000216,0.920819,0.000198
антониу,0.000216,2.0,0.000431
аппарат,0.000431,0.853872,0.000368
апрель,0.013581,0.136677,0.001856
апсон,0.000216,2.0,0.000431
арабский,0.000431,0.638272,0.000275
аравия,0.000431,0.744727,0.000321
аргумент,0.000216,0.823909,0.000178
арена,0.000216,0.920819,0.000198
арест,0.000216,0.886057,0.000191
армения,0.000216,0.79588,0.000172
армянин,0.000216,1.09691,0.000236
армянский,0.000216,0.769551,0.000166
археолог,0.000216,2.0,0.000431
архивировать,0.03061,0.124939,0.003824
архивный,0.00776,0.236572,0.001836
астана,0.000431,1.39794,0.000603
астронавт,0.000216,1.154902,0.000249
ата,0.000216,1.30103,0.00028
атака,0.000431,0.853872,0.000368
атлетика,0.000431,1.09691,0.000473
атмосфера,0.000216,1.221849,0.000263
атэс,0.000431,1.69897,0.000732
афганистан,0.000216,0.69897,0.000151
ачех,0.000216,1.39794,0.000301
ашгабат,0.000216,2.0,0.000431
ашхабад,0.000216,1.39794,0.000301
аэропорт,0.000216,0.853872,0.000184
аэс,0.000431,1.30103,0.000561
бажин,0.000216,2.0,0.000431
байконур,0.000647,1.09691,0.000709
баку,0.000431,1.30103,0.000561
банда,0.000216,1.09691,0.000236
банкнот,0.000216,1.09691,0.000236
барак,0.000216,1.39794,0.000301
барселона,0.000216,1.39794,0.000301
баттулга,0.000647,2.0,0.001293
бахрейн,0.000216,0.958607,0.000207
безвизовый,0.000216,1.69897,0.000366
безопасность,0.000216,0.481486,0.000104
безформат,0.000216,2.0,0.000431
беларусь,0.000216,0.958607,0.000207
беллен,0.000431,2.0,0.000862
белоруссия,0.000216,0.769551,0.000166
белорусский,0.000216,0.886057,0.000191
белый,0.000431,0.508638,0.000219
бердымухамед,0.000431,1.69897,0.000732
берег,0.000216,0.638272,0.000138
берлин,0.000431,0.823909,0.000355
